case,round,sample,wall_ms,thread_cpu_ms,device_ms,budget_ms
fft_1024,0,43,0.046337,0.031104,,
fft_1024,0,44,0.046049,0.031008,,
fft_1024,0,45,0.045792,0.030752,,
fft_1024,0,46,0.047648,0.032544,,
fft_1024,0,47,0.047553,0.032416,,
fft_1024,0,48,0.048609,0.033792,,
fft_1024,0,49,0.047233,0.032064,,
fft_1024,0,50,0.046464,0.031296,,
fft_1024,0,51,0.046528,0.031424,,
fft_1024,0,52,0.047265,0.032224,,
fft_1024,0,53,0.046209,0.031264,,
fft_1024,0,54,0.045696,0.030592,,
fft_1024,0,55,0.046784,0.031616,,
fft_1024,0,56,0.046017,0.030944,,
fft_1024,0,57,0.046305,0.031296,,
fft_1024,0,58,0.046144,0.03104,,
fft_1024,0,59,0.050752,0.035488,,
fft_1024,0,60,0.046465,0.031328,,
fft_1024,0,61,0.047233,0.032096,,
fft_1024,0,62,0.046816,0.031488,,
fft_1024,0,63,0.046784,0.031744,,
fft_1024,0,64,0.046465,0.031264,,
fft_1024,0,65,0.046305,0.031168,,
fft_1024,0,66,0.046304,0.030912,,
fft_1024,0,67,0.046272,0.031136,,
fft_1024,0,68,0.046337,0.031136,,
fft_1024,0,69,0.047873,0.032128,,
fft_1024,0,70,0.046304,0.0312,,
fft_1024,0,71,0.046208,0.031008,,
fft_1024,0,72,0.046401,0.0312,,
fft_1024,0,73,0.045793,0.030496,,
fft_1024,0,74,0.048032,0.032672,,
fft_1024,0,75,0.046976,0.031712,,
fft_1024,0,76,0.047553,0.032512,,
fft_1024,0,77,0.047105,0.03184,,
fft_1024,0,78,0.045793,0.030336,,
fft_1024,0,79,0.047296,0.032032,,
fft_1024,0,80,0.056033,0.034432,,
fft_1024,0,81,0.047649,0.032288,,
fft_1024,0,82,0.047041,0.031616,,
fft_1024,0,83,0.046592,0.031424,,
fft_1024,0,84,0.046304,0.030848,,
fft_1024,0,85,0.046241,0.03104,,
fft_1024,0,86,0.045889,0.030752,,
fft_1024,0,87,0.047296,0.032128,,
fft_1024,0,88,0.046048,0.03088,,
fft_1024,0,89,0.045601,0.030528,,
fft_1024,0,90,0.046433,0.031328,,
fft_1024,0,91,0.04608,0.030912,,
fft_1024,0,92,0.046688,0.03152,,
fft_1024,0,93,0.046145,0.030976,,
fft_1024,0,94,0.046497,0.03152,,
fft_1024,0,95,0.046848,0.031648,,
fft_1024,0,96,0.047072,0.031872,,
fft_1024,0,97,0.045921,0.03088,,
fft_1024,0,98,0.045633,0.030368,,
fft_1024,0,99,0.0464,0.03104,,
fft_1024,0,100,0.046272,0.031072,,
fft_1024,0,101,0.051361,0.036064,,
fft_1024,0,102,0.047745,0.032384,,
fft_1024,0,103,0.04688,0.031616,,
fft_1024,0,104,0.046112,0.031136,,
fft_1024,0,105,0.045793,0.030624,,
fft_1024,0,106,0.046529,0.0312,,
fft_1024,0,107,0.046464,0.031104,,
fft_1024,0,108,0.045344,0.030144,,
fft_1024,0,109,0.045761,0.03056,,
fft_1024,0,110,0.047841,0.032832,,
fft_1024,0,111,0.049569,0.0352,,
fft_1024,0,112,0.04688,0.031808,,
fft_1024,0,113,0.048992,0.034304,,
fft_1024,0,114,0.046977,0.03184,,
fft_1024,0,115,0.046913,0.031712,,
fft_1024,0,116,0.045888,0.030784,,
fft_1024,0,117,0.046208,0.030752,,
fft_1024,0,118,0.046529,0.031264,,
fft_1024,0,119,0.048353,0.032896,,
fft_1024,0,120,0.046272,0.0312,,
fft_1024,0,121,0.046144,0.030912,,
fft_1024,0,122,0.046497,0.03104,,
fft_1024,0,123,0.046529,0.031264,,
fft_1024,0,124,0.046592,0.031328,,
fft_1024,0,125,0.046176,0.030944,,
fft_1024,0,126,0.047137,0.032128,,
fft_1024,0,127,0.047233,0.031872,,
fft_1024,0,128,0.046208,0.031072,,
fft_1024,0,129,0.04672,0.031744,,
fft_1024,0,130,0.046689,0.031264,,
fft_1024,0,131,0.046369,0.031104,,
fft_1024,0,132,0.04672,0.031456,,
fft_1024,0,133,0.045728,0.030464,,
fft_1024,0,134,0.046433,0.03104,,
fft_1024,0,135,0.046113,0.030912,,
fft_1024,0,136,0.04656,0.031296,,
fft_1024,0,137,0.047168,0.031712,,
fft_1024,0,138,0.047489,0.032256,,
fft_1024,0,139,0.047105,0.031872,,
fft_1024,0,140,0.046528,0.031392,,
fft_1024,0,141,0.046112,0.030848,,
fft_1024,0,142,0.047105,0.031776,,
fft_1024,0,143,0.062369,0.03904,,
fft_1024,0,144,0.049441,0.0344,,
fft_1024,0,145,0.047712,0.03232,,
fft_1024,0,146,0.0472,0.031552,,
fft_1024,0,147,0.046817,0.03136,,
fft_1024,0,148,0.046625,0.031264,,
fft_1024,0,149,0.04704,0.03184,,
fft_1024,0,150,0.047424,0.032096,,
fft_1024,0,151,0.047457,0.03232,,
fft_1024,0,152,0.048481,0.033376,,
fft_1024,0,153,0.047105,0.031968,,
fft_1024,0,154,0.046976,0.031552,,
fft_1024,0,155,0.046657,0.031328,,
fft_1024,0,156,0.046433,0.03152,,
fft_1024,0,157,0.046369,0.031008,,
fft_1024,0,158,0.04656,0.03152,,
fft_1024,0,159,0.046337,0.031168,,
fft_1024,0,160,0.046753,0.031616,,
fft_1024,0,161,0.046401,0.030912,,
fft_1024,0,162,0.04688,0.031776,,
fft_1024,0,163,0.046817,0.031488,,
fft_1024,0,164,0.046241,0.031072,,
fft_1024,0,165,0.047809,0.032608,,
fft_1024,0,166,0.046944,0.03168,,
fft_1024,0,167,0.047264,0.031936,,
fft_1024,0,168,0.046465,0.031392,,
fft_1024,0,169,0.046145,0.030912,,
fft_1024,0,170,0.046336,0.031072,,
fft_1024,0,171,0.046496,0.031232,,
fft_1024,0,172,0.046817,0.031232,,
fft_1024,0,173,0.046337,0.0312,,
fft_1024,0,174,0.047616,0.032544,,
fft_1024,0,175,0.046048,0.030816,,
fft_1024,0,176,0.046497,0.031264,,
fft_1024,0,177,0.046529,0.031232,,
fft_1024,0,178,0.048833,0.03392,,
fft_1024,0,179,0.046816,0.031744,,
fft_1024,0,180,0.046816,0.031424,,
fft_1024,0,181,0.046241,0.031136,,
fft_1024,0,182,0.046465,0.031296,,
fft_1024,0,183,0.046432,0.031136,,
fft_1024,0,184,0.045953,0.030752,,
fft_1024,0,185,0.051233,0.036032,,
fft_1024,0,186,0.046401,0.031232,,
fft_1024,0,187,0.04656,0.03136,,
fft_1024,0,188,0.046816,0.031552,,
fft_1024,0,189,0.046081,0.030816,,
fft_1024,0,190,0.045953,0.030976,,
fft_1024,0,191,0.047296,0.032224,,
fft_1024,0,192,0.046752,0.031552,,
fft_1024,0,193,0.047521,0.032096,,
fft_1024,0,194,0.046273,0.031168,,
fft_1024,0,195,0.046816,0.031712,,
fft_1024,0,196,0.046272,0.03104,,
fft_1024,0,197,0.045729,0.030688,,
fft_1024,0,198,0.046113,0.030912,,
fft_1024,0,199,0.046016,0.030816,,
fft_512,0,0,0.031392,0.034816,,
fft_512,0,1,0.035297,0.037824,,
fft_512,0,2,0.033376,0.035584,,
fft_512,0,3,0.032225,0.0344,,
fft_512,0,4,0.032064,0.034048,,
fft_512,0,5,0.032128,0.034112,,
fft_512,0,6,0.033121,0.0352,,
fft_512,0,7,0.032288,0.0344,,
fft_512,0,8,0.032385,0.034336,,
fft_512,0,9,0.032576,0.034624,,
fft_512,0,10,0.032097,0.0344,,
fft_512,0,11,0.031744,0.033824,,
fft_512,0,12,0.032032,0.034144,,
fft_512,0,13,0.03264,0.034656,,
fft_512,0,14,0.031488,0.0336,,
fft_512,0,15,0.032545,0.034464,,
fft_512,0,16,0.031968,0.034048,,
fft_512,0,17,0.032065,0.03408,,
fft_512,0,18,0.03264,0.034688,,
fft_512,0,19,0.031969,0.03424,,
fft_512,0,20,0.032672,0.03472,,
fft_512,0,21,0.032416,0.034304,,
fft_512,0,22,0.031873,0.033888,,
fft_512,0,23,0.031968,0.034048,,
fft_512,0,24,0.032033,0.033984,,
fft_512,0,25,0.031744,0.033728,,
fft_512,0,26,0.032001,0.033984,,
fft_512,0,27,0.031872,0.033824,,
fft_512,0,28,0.031617,0.033536,,
fft_512,0,29,0.033248,0.03616,,
fft_512,0,30,0.032512,0.034592,,
fft_512,0,31,0.032097,0.034112,,
fft_512,0,32,0.032,0.03392,,
fft_512,0,33,0.032289,0.034272,,
fft_512,0,34,0.032224,0.034304,,
fft_512,0,35,0.032257,0.034176,,
fft_512,0,36,0.03248,0.03456,,
fft_512,0,37,0.033536,0.035712,,
fft_512,0,38,0.032513,0.03456,,
fft_512,0,39,0.032512,0.03456,,
fft_512,0,40,0.031745,0.033728,,
fft_512,0,41,0.032256,0.034176,,
fft_512,0,42,0.031873,0.033856,,
fft_512,0,43,0.03232,0.034464,,
fft_512,0,44,0.031424,0.033376,,
fft_512,0,45,0.031648,0.033664,,
fft_512,0,46,0.031424,0.033248,,
fft_512,0,47,0.032097,0.034016,,
fft_512,0,48,0.031328,0.033472,,
fft_512,0,49,0.031073,0.033024,,
fft_512,0,50,0.03104,0.033216,,
fft_512,0,51,0.031169,0.03312,,
fft_512,0,52,0.031328,0.033472,,
fft_512,0,53,0.031745,0.033696,,
fft_512,0,54,0.031424,0.033472,,
fft_512,0,55,0.031425,0.03344,,
fft_512,0,56,0.032448,0.03456,,
fft_512,0,57,0.032288,0.034272,,
fft_512,0,58,0.031969,0.03392,,
fft_512,0,59,0.031712,0.0336,,
fft_512,0,60,0.031425,0.033312,,
fft_512,0,61,0.031424,0.033504,,
fft_512,0,62,0.031297,0.033408,,
fft_512,0,63,0.036384,0.038592,,
fft_512,0,64,0.03392,0.036064,,
fft_512,0,65,0.032289,0.034464,,
fft_512,0,66,0.032544,0.03456,,
fft_512,0,67,0.031969,0.034016,,
fft_512,0,68,0.031232,0.03328,,
fft_512,0,69,0.032097,0.034304,,
fft_512,0,70,0.031808,0.033984,,
fft_512,0,71,0.031905,0.033888,,
fft_512,0,72,0.03168,0.033792,,
