accepted,expected_hops,completed_hops,dropped_hops,late_hops,late_percent,age_p99_ms,age_max_ms,service_p95_ms,service_median_ms,replay_expected,replay_completed,replay_dropped,replay_late,people,beams_per_person,candidate_beams,selected_streams,origin_ns,elapsed_s,process_cpu_percent_one_core,shared_history_bytes,backend,threads,modeled_live_access_MB_s,sampled_rss_peak_bytes,sampled_rss_increase_bytes,cupy_reserved_bytes,cupy_used_bytes,directory
False,1500,1500,0,138,9.2,18.57693284,19.84552,6.464759699999659,3.4100425000000003,0,0,0,0,32,1,32,32,14078412849729,14.995244798,50.19294080880531,1169408,cpu,4,292.2846581727408,69115904,16154624,,,cpu_4t_people32_beams1_round0
False,1500,1500,0,142,9.466666666666667,18.68840445,21.131288,7.3781169499998285,3.303433,0,0,0,0,32,1,32,32,14095456447855,14.995232059,49.86428084711538,1169408,cpu,4,292.2849064792856,68521984,16519168,,,cpu_4t_people32_beams1_round1
False,1500,1500,0,140,9.333333333333334,18.345987570000002,21.852832,7.466693399999871,3.985297,0,0,0,0,32,1,32,32,14112512186476,14.995079064,51.91625832455644,1169408,cpu,4,292.2878886662468,67256320,12468224,,,cpu_4t_people32_beams1_round2
False,1500,1500,0,308,20.533333333333335,31.361069779999998,38.398439,6.936941599998928,4.285381,0,0,0,0,32,4,128,32,14129523696415,14.996762285,60.245389913794334,1169408,cpu,4,1001.617796864345,78667776,26746880,,,cpu_4t_people32_beams4_round0
False,1500,1500,0,301,20.066666666666666,31.41843812,36.775666,6.949231799998957,4.158068,0,0,0,0,32,4,128,32,14146608379320,14.996650668,59.18415395220764,1169408,cpu,4,1001.625251700502,80891904,28676096,,,cpu_4t_people32_beams4_round1
False,1500,1500,0,302,20.133333333333333,31.49768173,35.845703,7.040696099998939,4.174675000000001,0,0,0,0,32,4,128,32,14163726884688,14.996470316,59.471357760793786,1169408,cpu,4,1001.6372975428626,80523264,28631040,,,cpu_4t_people32_beams4_round2
False,1500,1500,0,181,12.066666666666666,24.089969500000002,25.222134,7.024129549999461,3.9050564999999997,0,0,0,0,64,1,64,64,14180802366417,14.997207831,55.669700838067726,1169408,cpu,4,568.0993486260102,76439552,22126592,,,cpu_4t_people64_beams1_round0
False,1500,1500,0,180,12.0,24.25284177,25.23552,7.282656099999509,3.975569,0,0,0,0,64,1,64,64,14197909784028,14.99858334,55.812363158962974,1169408,cpu,4,568.047248654352,72372224,20041728,,,cpu_4t_people64_beams1_round1
False,1500,1500,0,185,12.333333333333334,24.50325612,25.732812,6.830527749999518,3.982705,0,0,0,0,64,1,64,64,14214982172405,14.997495011,55.881942515036464,1169408,cpu,4,568.0884703579516,74108928,20156416,,,cpu_4t_people64_beams1_round2
False,1500,1422,78,1007,67.13333333333334,57.58326991,63.02959,56.3560378,6.855636499999999,0,0,0,0,64,4,256,64,14232222307754,14.999418592,97.2677975997121,1169408,cpu,4,1883.192327939,97701888,45883392,,,cpu_4t_people64_beams4_round0
False,1500,1424,76,1021,68.06666666666666,57.54347921,63.895713,56.309430549999995,6.9005019999999995,0,0,0,0,64,4,256,64,14249636490697,14.998778846,97.74051440665312,1169408,cpu,4,1885.9214181655652,98627584,43270144,,,cpu_4t_people64_beams4_round1
False,1500,1424,76,1062,70.8,57.75715874,60.639704,56.349249,6.9789025,0,0,0,0,64,4,256,64,14267033918875,14.999760848,98.40417620967102,1169408,cpu,4,1885.797950956771,97071104,45187072,,,cpu_4t_people64_beams4_round2
True,1500,1500,0,0,0.0,2.92351186,3.532178,2.0677139999999996,1.17131,0,0,0,0,1,1,1,1,14284265421516,14.992602848,17.814321704014716,1169408,cpu,8,25.021539208586656,63770624,7364608,,,cpu_8t_people1_beams1_round0
True,1500,1500,0,0,0.0,2.58874039,3.490885,1.89004155,1.08691,0,0,0,0,1,1,1,1,14301051569919,14.993178896,16.36647775726884,1169408,cpu,8,25.020577864250143,62763008,6828032,,,cpu_8t_people1_beams1_round1
True,1500,1500,0,0,0.0,3.0046587799999998,3.9961,2.09113315,1.5842275,0,0,0,0,1,1,1,1,14317829980185,14.991775433,18.28309811065639,1169408,cpu,8,25.022920178903135,65810432,7331840,,,cpu_8t_people1_beams1_round2
True,1500,1500,0,0,0.0,3.6791154,5.264243,2.205159899999993,1.2693755,0,0,0,0,1,4,4,1,14334625111722,14.992335348,16.681118549412094,1169408,cpu,8,47.19611612038763,66072576,7831552,,,cpu_8t_people1_beams4_round0
True,1500,1500,0,0,0.0,4.56798603,5.465123,3.0786507499999995,1.901516,0,0,0,0,1,4,4,1,14351418940951,14.993239871,24.693786922597692,1169408,cpu,8,47.1932688390189,70430720,7700480,,,cpu_8t_people1_beams4_round1
True,1500,1500,0,0,0.0,4.64025486,6.747485,2.836360499999994,1.938205,0,0,0,0,1,4,4,1,14368216162633,14.992786519,25.338121891085514,1169408,cpu,8,47.19469586946368,66088960,7761920,,,cpu_8t_people1_beams4_round2
True,1500,1500,0,0,0.0,3.009117649999998,3.859277,2.1046054,0.9535819999999999,0,0,0,0,2,1,2,2,14385010978877,14.991509221,17.273164346916968,1169408,cpu,8,33.64704597542535,68927488,7675904,,,cpu_8t_people2_beams1_round0
True,1500,1500,0,0,0.0,3.58048374,4.15482,2.48685205,1.7240890000000002,0,0,0,0,2,1,2,2,14401819426626,14.992420916,21.809437312783142,1169408,cpu,8,33.644999885354075,68681728,7659520,,,cpu_8t_people2_beams1_round1
True,1500,1500,0,0,0.0,3.5203306100000002,4.08414,2.3279284,1.7580575,0,0,0,0,2,1,2,2,14418645872573,14.992366675,22.395396953052934,1169408,cpu,8,33.64512160986084,61353984,7491584,,,cpu_8t_people2_beams1_round2
True,1500,1500,0,0,0.0,6.5701660099999994,7.19535,3.379054549999995,2.239648,0,0,0,0,2,4,8,2,14435495581592,14.993253278,27.07232424222965,1169408,cpu,8,77.98867786191214,63377408,10911744,,,cpu_8t_people2_beams4_round0
True,1500,1500,0,0,0.0,6.6652385,7.383277,3.1828470499999737,2.1144625,0,0,0,0,2,4,8,2,14452422459195,14.992611788,26.95797177478818,1169408,cpu,8,77.99201476929484,63315968,10743808,,,cpu_8t_people2_beams4_round1
True,1500,1500,0,0,0.0,6.436064269999999,6.778708,3.1954699499999997,1.557798,0,0,0,0,2,4,8,2,14469219595489,14.992478407,24.451037791009405,1169408,cpu,8,77.99270862741753,68550656,8577024,,,cpu_8t_people2_beams4_round2
True,1500,1500,0,0,0.0,4.52148503,7.034073,3.1415409999999993,1.8789384999999998,0,0,0,0,4,1,4,4,14486048794314,14.993248873,24.542269978836902,1169408,cpu,8,50.88850365006544,70742016,7925760,,,cpu_8t_people4_beams1_round0
