stage,sequence,release_ns,queued_ns,start_ns,end_ns,queue_ms,service_ms,age_ms,dispatch_lag_ms,thread_cpu_ms,beam_index,output_samples
live,376,12757302794397,12757302958821,12757303022630,12757306586773,0.063809,3.564143,3.792376,0.164424,3.5104,0,480
live,377,12757312794397,12757312941033,12757313009546,12757316585018,0.068513,3.575472,3.790621,0.146636,3.499616,0,480
live,378,12757322794397,12757323396980,12757323579382,12757328299765,0.182402,4.720383,5.505368,0.602583,3.847072,1,480
live,379,12757332794397,12757332991539,12757333061300,12757337630609,0.069761,4.569309,4.836212,0.197142,3.566816,3,480
live,380,12757342794397,12757342943639,12757343014360,12757351150308,0.070721,8.135948,8.355911,0.149242,5.948512,3,480
live,381,12757352794397,12757353046173,12757353131326,12757357243733,0.085153,4.112407,4.449336,0.251776,3.374784,3,480
live,382,12757362794397,12757362947776,12757363006753,12757366325069,0.058977,3.318316,3.530672,0.153379,2.902912,2,480
live,383,12757372794397,12757372948645,12757373014566,12757376687063,0.065921,3.672497,3.892666,0.154248,3.54544,2,480
live,384,12757382794397,12757382964266,12757383042539,12757386729596,0.078273,3.687057,3.935199,0.169869,3.588288,1,480
live,385,12757392794397,12757392961422,12757393025583,12757396381468,0.064161,3.355885,3.587071,0.167025,3.277376,0,480
live,386,12757402794397,12757402945043,12757403011476,12757406758885,0.066433,3.747409,3.964488,0.150646,3.686464,0,480
live,387,12757412794397,12757412949751,12757413005656,12757416189634,0.055905,3.183978,3.395237,0.155354,2.8512,1,480
live,388,12757422794397,12757422945212,12757423011069,12757426839600,0.065857,3.828531,4.045203,0.150815,3.764544,3,480
live,389,12757432794397,12757432949345,12757433002657,12757435894088,0.053312,2.891431,3.099691,0.154948,2.850144,3,480
live,390,12757442794397,12757442922085,12757442969157,12757447475169,0.047072,4.506012,4.680772,0.127688,3.717504,0,480
live,391,12757452794397,12757452973898,12757453058315,12757457752393,0.084417,4.694078,4.957996,0.179501,4.514752,3,480
live,392,12757462794397,12757462996015,12757463071056,12757468682906,0.075041,5.61185,5.888509,0.201618,4.292032,1,480
live,393,12757472794397,12757472937683,12757472988467,12757475956795,0.050784,2.968328,3.162398,0.143286,2.912224,3,480
live,394,12757482794397,12757482950392,12757483018488,12757487461939,0.068096,4.443451,4.667542,0.155995,4.304096,2,480
live,395,12757492794397,12757492980349,12757493060894,12757499537491,0.080545,6.476597,6.743094,0.185952,4.49424,0,480
live,396,12757502794397,12757502959361,12757503027170,12757506716275,0.067809,3.689105,3.921878,0.164964,3.6248,0,480
live,397,12757512794397,12757512943077,12757513035718,12757517094972,0.092641,4.059254,4.300575,0.14868,3.937312,0,480
live,398,12757522794397,12757522984650,12757523061995,12757527958508,0.077345,4.896513,5.164111,0.190253,4.09072,2,480
replay,399,12757532794397,12757533525046,12757533610263,12757540883224,0.085217,7.272961,8.088827,0.730649,5.831904,0,36544
live,399,12757532794397,12757533473685,12757539224674,12757544456327,5.750989,5.231653,11.66193,0.679288,3.278304,0,480
