stage,sequence,release_ns,queued_ns,start_ns,end_ns,age_ms,queue_ms,service_ms,output_samples
live,925,18069903019212,18069903136390,18069903210887,18069907343482,4.32427,0.074497,4.132595,15360
live,926,18069913019212,18069913134850,18069913384645,18069917488056,4.468844,0.249795,4.103411,15360
live,927,18069923019212,18069923132830,18069923207519,18069927439764,4.420552,0.074689,4.232245,15360
live,928,18069933019212,18069933120474,18069933189307,18069940580279,7.561067,0.068833,7.390972,15360
live,929,18069943019212,18069943161623,18069943255832,18069947884242,4.86503,0.094209,4.62841,15360
live,930,18069953019212,18069953143699,18069953215956,18069957269702,4.25049,0.072257,4.053746,15360
live,931,18069963019212,18069963139311,18069963214928,18069967530918,4.511706,0.075617,4.31599,15360
live,932,18069973019212,18069973138155,18069973212812,18069977190782,4.17157,0.074657,3.97797,15360
live,933,18069983019212,18069983142760,18069983221385,18069987274715,4.255503,0.078625,4.05333,15360
live,934,18069993019212,18069993135620,18069993200069,18069997218199,4.198987,0.064449,4.01813,15360
live,935,18070003019212,18070003134880,18070003197633,18070007119218,4.100006,0.062753,3.921585,15360
live,936,18070013019212,18070013136828,18070013220317,18070017934872,4.91566,0.083489,4.714555,15360
live,937,18070023019212,18070023139833,18070023219482,18070027485487,4.466275,0.079649,4.266005,15360
live,938,18070033019212,18070033144245,18070033226230,18070037538443,4.519231,0.081985,4.312213,15360
live,939,18070043019212,18070043142449,18070043222258,18070047698794,4.679582,0.079809,4.476536,15360
live,940,18070053019212,18070053136301,18070053218766,18070059049527,6.030315,0.082465,5.830761,15360
live,941,18070063019212,18070063142602,18070063221451,18070067510016,4.490804,0.078849,4.288565,15360
live,942,18070073019212,18070073137638,18070073208359,18070077300889,4.281677,0.070721,4.09253,15360
live,943,18070083019212,18070083135394,18070083207267,18070087264661,4.245449,0.071873,4.057394,15360
live,944,18070093019212,18070093151518,18070093436642,18070097801272,4.78206,0.285124,4.36463,15360
live,945,18070103019212,18070103138139,18070103220540,18070107409936,4.390724,0.082401,4.189396,15360
live,946,18070113019212,18070113137207,18070113215768,18070117475245,4.456033,0.078561,4.259477,15360
live,947,18070123019212,18070123140819,18070123226804,18070127287079,4.267867,0.085985,4.060275,15360
live,948,18070133019212,18070133140527,18070133214800,18070137263074,4.243862,0.074273,4.048274,15360
live,949,18070143019212,18070143138219,18070143387151,18070149529915,6.510703,0.248932,6.142764,15360
live,950,18070153019212,18070153134024,18070153214729,18070160311489,7.292277,0.080705,7.09676,15360
live,951,18070163019212,18070163135972,18070163208837,18070168104802,5.08559,0.072865,4.895965,15360
live,952,18070173019212,18070173140576,18070173235233,18070177598008,4.578796,0.094657,4.362775,15360
live,953,18070183019212,18070183135452,18070183202269,18070187529011,4.509799,0.066817,4.326742,15360
live,954,18070193019212,18070193131833,18070193205242,18070198150935,5.131723,0.073409,4.945693,15360
live,955,18070203019212,18070203163861,18070203266519,18070207832559,4.813347,0.102658,4.56604,15360
live,956,18070213019212,18070213144433,18070213220018,18070217300741,4.281529,0.075585,4.080723,15360
live,957,18070223019212,18070223151470,18070223409425,18070227789287,4.770075,0.257955,4.379862,15360
live,958,18070233019212,18070233137866,18070233384653,18070237480736,4.461524,0.246787,4.096083,15360
live,959,18070243019212,18070243136326,18070243387145,18070248998767,5.979555,0.250819,5.611622,15360
