case,round,sample,wall_ms,thread_cpu_ms,device_ms,budget_ms
fft_1024,4,139,0.075457,0.078592,0.060575999319553375,
fft_1024,4,140,0.085633,0.0888,0.07011199742555618,
fft_1024,4,141,0.074401,0.077952,0.059967998415231705,
fft_1024,4,142,0.074401,0.078144,0.060095999389886856,
fft_1024,4,143,0.074945,0.0784,0.06038400158286095,
fft_1024,4,144,0.074689,0.078272,0.059647999703884125,
fft_1024,4,145,0.073505,0.077024,0.05951999872922897,
fft_1024,4,146,0.073441,0.076992,0.05907199904322624,
fft_1024,4,147,0.072769,0.076352,0.05830400064587593,
fft_1024,4,148,0.075073,0.078496,0.06015999987721443,
fft_1024,4,149,0.074401,0.077856,0.05942400172352791,
fft_1024,4,150,0.078561,0.081856,0.06028800085186958,
fft_1024,4,151,0.079777,0.083296,0.06339199841022491,
fft_1024,4,152,0.077313,0.081152,0.06172800064086914,
fft_1024,4,153,0.080417,0.084096,0.06492800265550613,
fft_1024,4,154,0.076225,0.079392,0.061216000467538834,
fft_1024,4,155,0.074977,0.078176,0.059647999703884125,
fft_1024,4,156,0.074657,0.077856,0.05951999872922897,
fft_1024,4,157,0.074336,0.07744,0.05936000123620033,
fft_1024,4,158,0.076353,0.07952,0.06204799935221672,
fft_1024,4,159,0.075553,0.07872,0.06060799956321716,
fft_1024,4,160,0.074465,0.07776,0.05923200026154518,
fft_1024,4,161,0.075777,0.078848,0.06067200005054474,
fft_1024,4,162,0.073953,0.077088,0.05913599953055382,
fft_1024,4,163,0.074241,0.077408,0.05920000001788139,
fft_1024,4,164,0.076673,0.079808,0.061344001442193985,
fft_1024,4,165,0.074656,0.077984,0.059776000678539276,
fft_1024,4,166,0.074145,0.077696,0.05913599953055382,
fft_1024,4,167,0.074753,0.07792,0.058559998869895935,
fft_1024,4,168,0.074561,0.077536,0.05990400165319443,
fft_1024,4,169,0.078049,0.081696,0.06207999959588051,
fft_1024,4,170,0.075009,0.07872,0.06095999851822853,
fft_1024,4,171,0.076417,0.079968,0.06140799820423126,
fft_1024,4,172,0.074657,0.07808,0.06047999858856201,
fft_1024,4,173,0.073761,0.077248,0.05897599831223488,
fft_1024,4,174,0.078177,0.081888,0.06419199705123901,
fft_1024,4,175,0.076929,0.080352,0.06191999837756157,
fft_1024,4,176,0.075233,0.07872,0.06083200126886368,
fft_1024,4,177,0.075841,0.079456,0.06185600161552429,
fft_1024,4,178,0.075201,0.078848,0.06019200012087822,
fft_1024,4,179,0.075649,0.07904,0.061344001442193985,
fft_1024,4,180,0.074753,0.0784,0.05967999994754791,
fft_1024,4,181,0.076801,0.08032,0.06268800050020218,
fft_1024,4,182,0.081826,0.085376,0.06787200272083282,
fft_1024,4,183,0.076257,0.079744,0.062111999839544296,
fft_1024,4,184,0.076097,0.079648,0.06163199990987778,
fft_1024,4,185,0.073313,0.07696,0.05955199897289276,
fft_1024,4,186,0.073889,0.077536,0.0597120001912117,
fft_1024,4,187,0.072417,0.075968,0.0589120015501976,
fft_1024,4,188,0.075617,0.079008,0.060896001756191254,
fft_1024,4,189,0.073377,0.076864,0.0594559982419014,
fft_1024,4,190,0.073953,0.077216,0.059647999703884125,
fft_1024,4,191,0.076385,0.080032,0.06124800071120262,
fft_1024,4,192,0.075265,0.078752,0.05951999872922897,
fft_1024,4,193,0.077121,0.08064,0.06233600154519081,
fft_1024,4,194,0.073857,0.077344,0.05958399921655655,
fft_1024,4,195,0.073472,0.076928,0.05907199904322624,
fft_1024,4,196,0.073985,0.07744,0.05920000001788139,
fft_1024,4,197,0.074657,0.078144,0.06028800085186958,
fft_1024,4,198,0.072897,0.076512,0.05923200026154518,
fft_1024,4,199,0.073409,0.076832,0.05881600081920624,
replay_750_1_batch,4,0,1.989785,1.984736,1.9650559425354004,10
replay_750_1_batch,4,1,1.974553,1.979648,1.952895998954773,10
replay_750_1_batch,4,2,1.987001,1.979616,1.9653760194778442,10
replay_750_1_batch,4,3,1.958329,1.963616,1.9377280473709106,10
replay_750_1_batch,4,4,1.979353,1.971808,1.9582719802856445,10
replay_750_1_batch,4,5,1.956441,1.961408,1.9357119798660278,10
replay_750_1_batch,4,6,1.986426,1.980192,1.9648959636688232,10
replay_750_1_batch,4,7,1.963481,1.968992,1.94268798828125,10
replay_750_1_batch,4,8,1.985658,1.98032,1.9644479751586914,10
replay_750_1_batch,4,9,1.954969,1.960416,1.9341440200805664,10
replay_750_1_batch,4,10,1.982842,1.976256,1.960960030555725,10
replay_750_1_batch,4,11,1.988858,1.994752,1.9669760465621948,10
replay_750_1_batch,4,12,2.020314,2.014656,1.9984960556030273,10
replay_750_1_batch,4,13,1.990553,1.995968,1.9688639640808105,10
replay_750_1_batch,4,14,2.015386,2.009792,1.99235200881958,10
replay_750_1_batch,4,15,1.958201,1.963616,1.9372479915618896,10
replay_750_1_batch,4,16,1.987034,1.982656,1.9650880098342896,10
replay_750_1_batch,4,17,1.958745,1.964224,1.9376319646835327,10
replay_750_1_batch,4,18,2.012218,2.003584,1.9903039932250977,10
replay_750_1_batch,4,19,1.969466,1.965408,1.936352014541626,10
replay_750_1_batch,4,20,1.959609,1.965568,1.9370880126953125,10
replay_750_1_batch,4,21,1.98361,1.97584,1.9632960557937622,10
replay_750_1_batch,4,22,1.98841,1.993792,1.9661439657211304,10
replay_750_1_batch,4,23,1.992794,1.987232,1.9688639640808105,10
