stage,sequence,release_ns,queued_ns,start_ns,end_ns,queue_ms,service_ms,age_ms,dispatch_lag_ms,thread_cpu_ms,beam_index,output_samples
live,1089,13194551847738,13194551961961,13194552049931,13194556129086,0.08797,4.079155,4.281348,0.114223,4.070432,0,480
live,1090,13194561847738,13194561998025,13194562067626,13194565937051,0.069601,3.869425,4.089313,0.150287,3.847904,0,480
live,1091,13194571847738,13194571973992,13194572031785,13194574735563,0.057793,2.703778,2.887825,0.126254,2.68832,0,480
live,1092,13194581847738,13194581960039,13194582018792,13194585866297,0.058753,3.847505,4.018559,0.112301,3.835584,0,480
live,1093,13194591847738,13194591989190,13194592086664,13194596171932,0.097474,4.085268,4.324194,0.141452,4.075136,0,480
live,1094,13194601847738,13194601987910,13194602091271,13194607342378,0.103361,5.251107,5.49464,0.140172,4.088544,0,480
live,1095,13194611847738,13194611973317,13194612036773,13194614796713,0.063456,2.75994,2.948975,0.125579,2.74128,0,480
live,1096,13194621847738,13194621955076,13194622013764,13194626123449,0.058688,4.109685,4.275711,0.107338,4.09456,0,480
live,1097,13194631847738,13194631990275,13194632091653,13194636137240,0.101378,4.045587,4.289502,0.142537,4.038784,0,480
live,1098,13194641847738,13194641971938,13194642029475,13194644780646,0.057537,2.751171,2.932908,0.1242,2.722016,0,480
live,1099,13194651847738,13194651959681,13194652045890,13194656187607,0.086209,4.141717,4.339869,0.111943,4.130304,0,480
live,1100,13194661847738,13194662001121,13194662071266,13194667905804,0.070145,5.834538,6.058066,0.153383,5.815488,0,480
live,1101,13194671847738,13194671973536,13194672040961,13194674797924,0.067425,2.756963,2.950186,0.125798,2.741664,0,480
live,1102,13194681847738,13194681959519,13194682032128,13194685924785,0.072609,3.892657,4.077047,0.111781,3.877632,0,480
live,1103,13194691847738,13194691991582,13194692084991,13194696037810,0.093409,3.952819,4.190072,0.143844,3.93184,0,480
live,1104,13194701847738,13194701967037,13194702030270,13194704850914,0.063233,2.820644,3.003176,0.119299,2.802752,0,480
live,1105,13194711847738,13194711955292,13194712025341,13194715871982,0.070049,3.846641,4.024244,0.107554,3.85312,0,480
live,1106,13194721847738,13194721963643,13194722029724,13194726023279,0.066081,3.993555,4.175541,0.115905,3.981632,0,480
live,1107,13194731847738,13194731976411,13194732050812,13194734847391,0.074401,2.796579,2.999653,0.128673,2.77856,0,480
live,1108,13194741847738,13194741957754,13194742021371,13194745625256,0.063617,3.603885,3.777518,0.110016,3.592096,0,480
live,1109,13194751847738,13194751974457,13194752071674,13194756061517,0.097217,3.989843,4.213779,0.126719,3.974048,0,480
live,1110,13194761847738,13194761982200,13194762047545,13194765225826,0.065345,3.178281,3.378088,0.134462,2.89056,0,480
live,1111,13194771847738,13194771968311,13194772071801,13194776226670,0.10349,4.154869,4.378932,0.120573,4.14112,0,480
live,1112,13194781847738,13194782035255,13194782436541,13194786736531,0.401286,4.29999,4.888793,0.187517,4.237344,0,480
live,1113,13194791847738,13194791967574,13194792036439,13194794835514,0.068865,2.799075,2.987776,0.119836,2.779552,0,480
live,1114,13194801847738,13194801962229,13194802018582,13194805917511,0.056353,3.898929,4.069773,0.114491,3.881728,0,480
live,1115,13194811847738,13194811992500,13194812121590,13194815874566,0.12909,3.752976,4.026828,0.144762,3.737504,0,480
live,1116,13194821847738,13194821977299,13194822030932,13194824781303,0.053633,2.750371,2.933565,0.129561,2.714336,0,480
live,1117,13194831847738,13194831959698,13194832042067,13194835798115,0.082369,3.756048,3.950377,0.11196,3.763008,0,480
live,1118,13194841847738,13194841981618,13194842032083,13194844826294,0.050465,2.794211,2.978556,0.13388,2.760384,0,480
live,1119,13194851847738,13194851947089,13194851990513,13194855013080,0.043424,3.022567,3.165342,0.099351,3.023232,0,480
live,1120,13194861847738,13194861977808,13194862045905,13194867866395,0.068097,5.82049,6.018657,0.13007,5.811296,0,480
live,1121,13194871847738,13194871980399,13194872058160,13194874928725,0.077761,2.870565,3.080987,0.132661,2.816608,0,480
live,1122,13194881847738,13194881961006,13194882034959,13194885894880,0.073953,3.859921,4.047142,0.113268,3.844128,0,480
live,1123,13194891847738,13194891984238,13194892087695,13194896121154,0.103457,4.033459,4.273416,0.1365,4.010144,0,480
live,1124,13194901847738,13194901965197,13194902018925,13194904799409,0.053728,2.780484,2.951671,0.117459,2.748608,0,480
live,1125,13194911847738,13194911960652,13194912039757,13194916117249,0.079105,4.077492,4.269511,0.112914,4.063328,0,480
live,1126,13194921847738,13194921983979,13194922035564,13194924782351,0.051585,2.746787,2.934613,0.136241,2.713344,0,480
live,1127,13194931847738,13194931964010,13194932057451,13194936204384,0.093441,4.146933,4.356646,0.116272,4.136064,0,480
live,1128,13194941847738,13194941998250,13194942084107,13194947192492,0.085857,5.108385,5.344754,0.150512,3.917184,0,480
live,1129,13194951847738,13194951974025,13194952033066,13194954869518,0.059041,2.836452,3.02178,0.126287,2.821952,0,480
live,1130,13194961847738,13194961959080,13194962016072,13194965802041,0.056992,3.785969,3.954303,0.111342,3.769376,0,480
live,1131,13194971847738,13194971994887,13194972111017,13194976897862,0.11613,4.786845,5.050124,0.147149,4.126976,0,480
live,1132,13194981847738,13194981982982,13194982049479,13194985260592,0.066497,3.211113,3.412854,0.135244,2.936224,0,480
live,1133,13194991847738,13194991974693,13194992049414,13194994736425,0.074721,2.687011,2.888687,0.126955,2.690688,0,480
live,1134,13195001847738,13195002009157,13195002105734,13195007018085,0.096577,4.912351,5.170347,0.161419,4.283488,0,480
live,1135,13195011847738,13195012042053,13195012139046,13195016290619,0.096993,4.151573,4.442881,0.194315,4.127872,0,480
live,1136,13195021847738,13195022001251,13195022096229,13195026327578,0.094978,4.231349,4.47984,0.153513,4.227392,0,480
live,1137,13195031847738,13195031984034,13195032055555,13195034830342,0.071521,2.774787,2.982604,0.136296,2.7544,0,480
live,1138,13195041847738,13195041965057,13195042036802,13195046099702,0.071745,4.0629,4.251964,0.117319,4.041088,0,480
live,1139,13195051847738,13195052079554,13195052168579,13195055996820,0.089025,3.828241,4.149082,0.231816,3.812512,0,480
live,1140,13195061847738,13195061995392,13195062052641,13195065884465,0.057249,3.831824,4.036727,0.147654,3.82784,0,480
live,1141,13195071847738,13195071968543,13195072061568,13195076124148,0.093025,4.06258,4.27641,0.120805,4.052864,0,480
live,1142,13195081847738,13195081981566,13195082035999,13195084829346,0.054433,2.793347,2.981608,0.133828,2.767872,0,480
live,1143,13195091847738,13195091969693,13195092064670,13195096157810,0.094977,4.09314,4.310072,0.121955,4.08288,0,480
live,1144,13195101847738,13195101993533,13195102069438,13195106255635,0.075905,4.186197,4.407897,0.145795,4.16064,0,480
live,1145,13195111847738,13195111974300,13195112037692,13195114995970,0.063392,2.958278,3.148232,0.126562,2.9416,0,480
live,1146,13195121847738,13195121949082,13195122014107,13195126218001,0.065025,4.203894,4.370263,0.101344,4.188256,0,480
live,1147,13195131847738,13195131987514,13195132091451,13195136512116,0.103937,4.420665,4.664378,0.139776,4.387392,0,480
live,1148,13195141847738,13195141993433,13195142083034,13195146261168,0.089601,4.178134,4.41343,0.145695,4.158528,0,480
live,1149,13195151847738,13195151977848,13195152032889,13195154854941,0.055041,2.822052,3.007203,0.13011,2.806368,0,480
live,1150,13195161847738,13195161960887,13195162031544,13195166230894,0.070657,4.19935,4.383156,0.113149,4.185888,0,480
live,1151,13195171847738,13195171985271,13195172078776,13195176257837,0.093505,4.179061,4.410099,0.137533,4.161024,0,480
live,1152,13195181847738,13195181976534,13195182030326,13195184857562,0.053792,2.827236,3.009824,0.128796,2.802464,0,480
live,1153,13195191847738,13195191958069,13195192031862,13195195874183,0.073793,3.842321,4.026445,0.110331,3.84912,0,480
live,1154,13195201847738,13195201986516,13195202056629,13195206190250,0.070113,4.133621,4.342512,0.138778,4.101056,0,480
live,1155,13195211847738,13195211972819,13195212025172,13195214840760,0.052353,2.815588,2.993022,0.125081,2.799008,0,480
live,1156,13195221847738,13195221948690,13195222010323,13195226222120,0.061633,4.211797,4.374382,0.100952,4.19632,0,480
live,1157,13195231847738,13195232024466,13195232424823,13195237122419,0.400357,4.697596,5.274681,0.176728,4.664384,0,480
live,1158,13195241847738,13195241975057,13195242037106,13195245363580,0.062049,3.326474,3.515842,0.127319,3.045632,0,480
live,1159,13195251847738,13195251972656,13195252048049,13195255272186,0.075393,3.224137,3.424448,0.124918,2.87936,0,480
live,1160,13195261847738,13195261959663,13195262023312,13195267723512,0.063649,5.7002,5.875774,0.111925,5.693952,0,480
live,1161,13195271847738,13195272055151,13195272159281,13195276603753,0.10413,4.444472,4.756015,0.207413,4.412,0,480
live,1162,13195281847738,13195282001422,13195282065615,13195285261783,0.064193,3.196168,3.414045,0.153684,2.940928,0,480
live,1163,13195291847738,13195291976397,13195292064526,13195295871006,0.088129,3.80648,4.023268,0.128659,3.812608,0,480
live,1164,13195301847738,13195301987404,13195302068781,13195306113568,0.081377,4.044787,4.26583,0.139666,4.016512,0,480
live,1165,13195311847738,13195311977483,13195312039468,13195314814511,0.061985,2.775043,2.966773,0.129745,2.753312,0,480
live,1166,13195321847738,13195321958730,13195322014923,13195325887900,0.056193,3.872977,4.040162,0.110992,3.825312,0,480
live,1167,13195331847738,13195332036362,13195332434543,13195337315085,0.398181,4.880542,5.467347,0.188624,4.21392,0,480
live,1168,13195341847738,13195341966280,13195342022537,13195344849933,0.056257,2.827396,3.002195,0.118542,2.797344,0,480
live,1169,13195351847738,13195351958151,13195352030024,13195356117532,0.071873,4.087508,4.269794,0.110413,4.078368,0,480
live,1170,13195361847738,13195361992423,13195362067208,13195366267837,0.074785,4.200629,4.420099,0.144685,4.181504,0,480
live,1171,13195371847738,13195371975078,13195372037831,13195374831210,0.062753,2.793379,2.983472,0.12734,2.784832,0,480
live,1172,13195381847738,13195381955269,13195382019942,13195385876151,0.064673,3.856209,4.028413,0.107531,3.843904,0,480
live,1173,13195391847738,13195391990405,13195392089030,13195396157434,0.098625,4.068404,4.309696,0.142667,4.063392,0,480
live,1174,13195401847738,13195401971780,13195402033572,13195404796679,0.061792,2.763107,2.948941,0.124042,2.73728,0,480
live,1175,13195411847738,13195411965507,13195412055972,13195416134520,0.090465,4.078548,4.286782,0.117769,4.069344,0,480
live,1176,13195421847738,13195421981410,13195422034723,13195424819590,0.053313,2.784867,2.971852,0.133672,2.753184,0,480
live,1177,13195431847738,13195431959905,13195432034018,13195435773361,0.074113,3.739343,3.925623,0.112167,3.745888,0,480
live,1178,13195441847738,13195441983040,13195442063617,13195446214518,0.080577,4.150901,4.36678,0.135302,4.114176,0,480
live,1179,13195451847738,13195451970847,13195452035872,13195454816100,0.065025,2.780228,2.968362,0.123109,2.764064,0,480
live,1180,13195461847738,13195461961758,13195462027903,13195467839913,0.066145,5.81201,5.992175,0.11402,5.796192,0,480
live,1181,13195471847738,13195471979902,13195472056223,13195474851106,0.076321,2.794883,3.003368,0.132164,2.779808,0,480
live,1182,13195481847738,13195481946845,13195481987901,13195485349320,0.041056,3.361419,3.501582,0.099107,3.34736,0,480
live,1183,13195491847738,13195491954492,13195492029949,13195495905646,0.075457,3.875697,4.057908,0.106754,3.882688,0,480
live,1184,13195501847738,13195501982363,13195502040060,13195505196132,0.057697,3.156072,3.348394,0.134625,2.874016,0,480
live,1185,13195511847738,13195511979355,13195512047323,13195514720061,0.067968,2.672738,2.872323,0.131617,2.677344,0,480
live,1186,13195521847738,13195521958745,13195522029178,13195527272061,0.070433,5.242883,5.424323,0.111007,4.102624,0,480
live,1187,13195531847738,13195532055450,13195532156763,13195536633716,0.101313,4.476953,4.785978,0.207712,4.44272,0,480
live,1188,13195541847738,13195542011896,13195542102458,13195546631251,0.090562,4.528793,4.783513,0.164158,4.4992,0,480
live,1189,13195551847738,13195551982935,13195552052568,13195554836892,0.069633,2.784324,2.989154,0.135197,2.767392,0,480
live,1190,13195561847738,13195561967478,13195562041367,13195566155435,0.073889,4.114068,4.307697,0.11974,4.097856,0,480
live,1191,13195571847738,13195571971765,13195572030198,13195574709464,0.058433,2.679266,2.861726,0.124027,2.661888,0,480
live,1192,13195581847738,13195581960500,13195582022645,13195586126153,0.062145,4.103508,4.278415,0.112762,4.084,0,480
