baseline,candidate,baseline_case,candidate_case,boundary,baseline_median_ms,candidate_median_ms,speedup_median,time_reduction_percent,baseline_p95_ms,candidate_p95_ms,speedup_p95
cpu_1t,gpu_1t,replay_1000_1_sequential,replay_1000_1_sequential,resident,18.177945,146.5531735,0.12403651566098635,-706.2141980295353,24.49230645,148.96257595,0.16441919249718775
cpu_1t,gpu_1t,replay_1000_4_batch,replay_transfer_1000_4_batch,host_input_output,21.086076,3.0321230000000003,6.954228439941255,85.62025954947711,26.164244899999996,4.56549175,5.730871137813358
cpu_1t,gpu_1t,replay_1000_4_batch,replay_1000_4_batch,resident,21.086076,1.9766035,10.667832977124649,90.62602496547959,26.164244899999996,2.4882906499999997,10.514947238981105
cpu_1t,gpu_1t,replay_1000_4_sequential,replay_transfer_1000_4_sequential,host_input_output,25.7603395,147.5158905,0.17462755648009323,-472.6473073074212,34.06005655,149.4313043,0.2279312002900051
cpu_1t,gpu_1t,replay_1000_4_sequential,replay_1000_4_sequential,resident,25.7603395,146.1610595,0.17624625593248386,-467.3879395106575,34.06005655,148.43761205,0.22945704986501092
cpu_1t,gpu_1t,replay_500_1_batch,replay_transfer_500_1_batch,host_input_output,5.440593,2.6338285,2.0656595522449543,51.58931204741835,7.484853849999999,3.1375649499999985,2.3855614048722726
cpu_1t,gpu_1t,replay_500_1_batch,replay_500_1_batch,resident,5.440593,1.98182,2.74525083004511,63.57345605524986,7.484853849999999,2.3477984999999992,3.1880307658429805
cpu_1t,gpu_1t,replay_500_1_sequential,replay_transfer_500_1_sequential,host_input_output,9.1721575,71.3868565,0.12848524153742505,-678.2995058687118,12.780448149999996,79.72074345,0.16031521529921203
cpu_1t,gpu_1t,replay_500_1_sequential,replay_500_1_sequential,resident,9.1721575,70.72189800000001,0.12969331648876278,-671.0497557417652,12.780448149999996,79.3095888,0.16114631715251052
cpu_1t,gpu_1t,replay_500_4_batch,replay_transfer_500_4_batch,host_input_output,9.2444465,2.63154,3.5129416615365905,71.53382844500209,13.08423605,2.71391845,4.8211603594794825
cpu_1t,gpu_1t,replay_500_4_batch,replay_500_4_batch,resident,9.2444465,1.975756,4.6789413773765585,78.62764417534353,13.08423605,2.307442299999999,5.670449939311594
cpu_1t,gpu_1t,replay_500_4_sequential,replay_transfer_500_4_sequential,host_input_output,12.929514000000001,71.19554149999999,0.1816056697876229,-450.64360114386346,17.0471182,79.70080265,0.21388891495686838
cpu_1t,gpu_1t,replay_500_4_sequential,replay_500_4_sequential,resident,12.929514000000001,70.821385,0.18256511080657348,-447.74978394392855,17.0471182,79.02036785,0.215730686452379
cpu_1t,gpu_1t,replay_750_1_batch,replay_transfer_750_1_batch,host_input_output,8.18989,2.7589995,2.9684275042456516,66.31212995534739,11.364710499999997,4.2703056499999965,2.661334206838334
cpu_1t,gpu_1t,replay_750_1_batch,replay_750_1_batch,resident,8.18989,1.9883955,4.118843560046279,75.7213405796659,11.364710499999997,2.8173807,4.033785884882365
cpu_1t,gpu_1t,replay_750_1_sequential,replay_transfer_750_1_sequential,host_input_output,13.676883,108.098078,0.1265229063554673,-690.370715315763,17.951233249999998,114.4241883,0.1568832037762421
cpu_1t,gpu_1t,replay_750_1_sequential,replay_750_1_sequential,resident,13.676883,107.592532,0.12711740067609897,-686.6743614023751,17.951233249999998,113.51797485,0.15813560164124085
cpu_1t,gpu_1t,replay_750_4_batch,replay_transfer_750_4_batch,host_input_output,13.5392495,2.7417335,4.938207706912434,79.74973797476737,17.7425624,3.6293504499999996,4.888633005941877
cpu_1t,gpu_1t,replay_750_4_batch,replay_750_4_batch,resident,13.5392495,1.9849070000000002,6.821100182527442,85.33960837341833,17.7425624,2.139057299999998,8.29457088409928
cpu_1t,gpu_1t,replay_750_4_sequential,replay_transfer_750_4_sequential,host_input_output,19.2455895,108.80514500000001,0.1768812449080418,-465.3510639411695,23.5954628,114.4827508,0.2061049602242786
cpu_1t,gpu_1t,replay_750_4_sequential,replay_750_4_sequential,resident,19.2455895,107.76611750000001,0.17858664621558812,-459.95228153442633,23.5954628,113.90631925,0.2071479699753357
cpu_1t,gpu_1t,stream_1_baseline_live_age,stream_1_baseline_live_age,host_input_output,0.9988885000000001,4.538754,0.22007989417359922,-354.38044386335406,1.83639545,7.330632149999999,0.25050983495331985
cpu_1t,gpu_1t,stream_1_baseline_live_service,stream_1_baseline_live_service,host_input_output,0.7588090000000001,4.265529000000001,0.1778932929538165,-462.13474009928717,1.5431213499999998,6.996301,0.22056245864779114
