case,round,sample,wall_ms,budget_ms,device_ms
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,62,7.610043,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,62,7.638203,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,63,7.237046,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,63,7.269719,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,64,7.3406,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,64,7.37036,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,65,7.335768,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,65,7.362648,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,66,6.876722,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,66,6.900082,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,67,7.167381,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,67,7.190262,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,68,7.132693,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,68,7.161301,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,69,6.612879,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,69,6.643248,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,70,6.874418,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,70,6.906035,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,71,6.858866,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,71,6.891347,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,72,6.808049,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,72,6.842609,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,73,6.775697,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,73,6.806514,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,74,6.682,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,74,6.705488,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,75,6.610255,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,75,6.633295,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,76,6.630895,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,76,6.658096,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,77,6.534382,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,77,6.569615,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,78,6.580974,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,78,6.610991,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,79,6.577551,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,79,6.605839,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,80,6.323244,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,80,6.35566,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,81,6.362124,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,81,6.406477,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,82,6.274987,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,82,6.302635,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,83,6.39742,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,83,6.424653,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,84,6.453901,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,84,6.495662,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,85,6.646,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,85,6.691152,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,86,6.785297,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,86,6.831794,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,87,6.520526,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,87,6.56299,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,88,6.987027,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,88,7.036532,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,89,7.061429,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,89,7.126741,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,90,7.125333,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,90,7.185558,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,91,7.109589,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,91,7.132598,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,92,7.125142,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,92,7.148406,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,93,7.0197,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,93,7.069716,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,94,7.190166,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,94,7.230935,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,95,7.165206,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,95,7.199766,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,96,7.00466,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,96,7.063509,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,97,6.968755,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,97,7.01266,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,98,6.50091,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,98,6.52619,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,99,6.406572,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,99,6.430029,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,100,6.353548,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,100,6.385229,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,101,6.550671,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,101,6.586127,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,102,6.677199,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,102,6.70936,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,103,6.6692,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,103,6.726257,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,104,6.510061,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,104,6.54475,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,105,6.351244,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,105,6.375628,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,106,6.471661,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,106,6.499822,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,107,6.417677,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,107,6.446605,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,108,6.554191,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,108,6.599023,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,109,6.741457,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,109,6.772689,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,110,6.769905,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,110,6.806994,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,111,6.442189,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,111,6.466253,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,112,6.640048,40.0,
