case,round,sampled_rss_peak_bytes,sampled_rss_increase_bytes,pss_after_bytes,steady_output_fps,python_copy_payload_MB_s,python_copy_read_write_MB_s,compressed_payload_MB_s
jetson_jetson_test_1280x720_paced_nvdec_rgb,1,97009664,77377536,71343104,24.971216470646755,69.04041929804414,138.08083859608828,0.34056247798838596
jetson_jetson_test_1280x720_paced_software_rgb,1,111390720,91680768,83503104,24.99966552041472,69.11907523084263,138.23815046168525,0.340950471857118
jetson_jetson_test_1280x720_paced_nvdec_native,1,82653184,62943232,56962048,24.990201983329335,0.0,0.0,0.34082140623293744
jetson_jetson_test_1280x720_paced_nvdec_rgb,2,97353728,77631488,71163904,24.973694901274627,69.0472716630441,138.0945433260882,0.34059627932430175
jetson_jetson_test_1280x720_paced_software_native,2,97046528,77266944,70552576,25.003372703265867,0.0,0.0,0.34100103116325464
jetson_jetson_test_1280x720_throughput_nvdec_rgb,2,96993280,77303808,71048192,133.20361815999578,368.2813634887563,736.5627269775126,1.8166577639864574
jetson_jetson_test_1280x720_paced_nvdec_native,2,81235968,61665280,55263232,24.991034361594615,0.0,0.0,0.34083275837531224
jetson_jetson_test_1280x720_throughput_software_rgb,2,127365120,107757568,97925120,76.9781987181268,212.829323815877,425.658647631754,1.0498441730839982
jetson_jetson_test_1280x720_paced_software_rgb,2,104476672,84795392,76890112,25.000687246240773,69.12190009840648,138.24380019681297,0.34096440635965036
jetson_jetson_test_1280x720_throughput_software_native,2,115437568,95686656,73824256,697.1808239394339,0.0,0.0,9.508292448863974
jetson_jetson_test_1280x720_throughput_nvdec_native,2,79298560,59596800,55212032,996.5297423430885,0.0,0.0,13.590873269647325
jetson_jetson_test_1280x720_paced_nvdec_native,3,85168128,65449984,59359232,24.98788742762915,0.0,0.0,0.34078983985628036
jetson_jetson_test_1280x720_throughput_software_native,3,115146752,95420416,73968640,702.3326919794597,0.0,0.0,9.578554662482713
jetson_jetson_test_1280x720_paced_software_native,3,92762112,73060352,66577408,24.995511179447288,0.0,0.0,0.3408938141185597
jetson_jetson_test_1280x720_throughput_nvdec_native,3,83410944,63606784,59215872,968.9942015777176,0.0,0.0,13.215338020620587
jetson_jetson_test_1280x720_paced_software_rgb,3,104984576,85258240,77396992,24.988703571444518,69.0887676343298,138.1775352686596,0.3408009705899586
jetson_jetson_test_1280x720_throughput_software_rgb,3,139370496,119668736,103967744,75.81938486272647,209.62543526846613,419.25087053693227,1.0340400364058224
jetson_jetson_test_1280x720_throughput_nvdec_rgb,3,101212160,81510400,75550720,132.26746540260822,365.69308834513123,731.3861766902625,1.8038903241940734
jetson_jetson_test_1280x720_paced_nvdec_rgb,3,95162368,75550720,71383040,24.975650894318402,69.05267959261153,138.10535918522305,0.3406229555512569
