case,round,sample,wall_ms,budget_ms,device_ms
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,53,8.03149,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,54,8.292007,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,54,8.322375,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,55,8.122692,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,55,8.152677,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,56,7.765824,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,56,7.795776,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,57,8.030723,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,57,8.059107,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,58,7.747936,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,58,7.781472,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,59,7.807073,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,59,7.841153,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,60,7.993282,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,60,8.025987,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,61,8.135364,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,61,8.168837,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,62,8.891022,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,62,8.92027,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,63,8.416136,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,63,8.451945,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,64,8.298726,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,64,8.336071,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,65,8.334791,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,65,8.4058,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,66,8.510889,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,66,8.542697,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,67,8.081507,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,67,8.11322,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,68,7.852513,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,68,7.884577,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,69,7.76896,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,69,7.801632,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,70,7.899745,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,70,7.940417,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,71,8.225061,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,71,8.263077,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,72,7.625822,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,72,7.660991,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,73,7.497148,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,73,7.52886,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,74,7.30585,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,74,7.337499,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,75,7.557213,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,75,7.591998,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,76,7.47798,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,76,7.51686,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,77,7.974498,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,77,8.013571,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,78,8.08762,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,78,8.120932,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,79,7.917729,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,79,7.94733,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,80,7.797856,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,80,7.828769,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,81,7.773536,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,81,7.80832,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,82,7.799328,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,82,7.843649,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,83,7.892001,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,83,7.93805,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,84,8.091364,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,84,8.126916,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,85,7.62643,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,85,7.662079,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,86,7.506685,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,86,7.545789,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,87,7.119736,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,87,7.157913,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,88,7.395227,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,88,7.443611,40.0,
