frame,payload_bytes,encode_ms,decode_ms,roundtrip_service_ms
264,13352,0.35194,0.120546,0.472486
265,13357,0.350532,0.120673,0.471205
266,13344,0.354052,0.119489,0.473541
267,13360,0.35434,0.120289,0.474629
268,13369,0.353604,0.120513,0.474117
269,13345,0.388197,0.12925,0.517447
270,13368,0.361988,0.125826,0.487814
271,13342,0.353956,0.12157,0.475526
272,13352,0.351524,0.120993,0.472517
273,13375,0.35466,0.120033,0.474693
274,13364,0.359972,0.121825,0.481797
275,13341,0.352196,0.121121,0.473317
276,13363,0.3585,0.121441,0.479941
277,13348,0.375204,0.124289,0.499493
278,13338,0.354052,0.126689,0.480741
279,13349,0.355428,0.122049,0.477477
280,13345,0.356516,0.123969,0.480485
281,13337,0.358532,0.119937,0.478469
282,13355,0.358212,0.120513,0.478725
283,13346,0.353412,0.122721,0.476133
284,13330,0.352324,0.120929,0.473253
285,13338,0.389733,0.133122,0.522855
286,13347,0.356164,0.12301,0.479174
287,13348,0.350692,0.120961,0.471653
288,13349,0.352676,0.121313,0.473989
289,13368,0.35386,0.121441,0.475301
290,13367,0.349604,0.121729,0.471333
291,13364,0.352709,0.120801,0.47351
292,13353,0.346884,0.119458,0.466342
293,13345,0.379141,0.123777,0.502918
294,13353,0.353349,0.122145,0.475494
295,13348,0.349604,0.121058,0.470662
296,13348,0.357764,0.121442,0.479206
297,13342,0.354244,0.120642,0.474886
298,13348,0.350436,0.121282,0.471718
299,13353,0.35322,0.125186,0.478406
