frame,pts_ns,raw_ready_ns,encoded_ready_ns,source_schedule_lateness_ms,encoder_ms,encode_path_ms,payload_bytes,rtp_bytes,rtp_packets,max_rtp_packet_bytes,packet_ready_ns,packet_ready_ms,scheduled_packet_latency_ms
73,3320000000,568717795347280,568717843252965,0.173523,39.413745,47.905685,9812,9941,10,1200,568717843691210,48.34393,48.517453
74,3360000000,568717835336776,568717869137655,0.162858,25.620463,33.800879,9650,9779,10,1200,568717869459802,34.123026,34.285884
75,3400000000,568717875332576,568717915896318,0.204482,33.035878,40.563742,9625,9754,10,1200,568717916549286,41.21671,41.421192
76,3440000000,568717915362008,568717946138787,0.19449,22.628011,30.776779,9559,9688,10,1200,568717946425734,31.063726,31.258215999999997
77,3480000000,568717955337871,568717994276666,0.160945,31.303185,38.938795,9558,9687,10,1200,568717994819489,39.481618,39.642562999999996
78,3520000000,568717995348391,568718034843929,0.174441,31.50818,39.495538,10145,10274,10,1200,568718035471424,40.123033,40.297474
79,3560000000,568718035378623,568718077359502,0.214433,33.763342,41.980879,9683,9812,10,1200,568718077844084,42.465461,42.679894
80,3600000000,568718075373495,568718119638529,0.202233,35.996233,44.265034,9849,9978,10,1200,568718119947204,44.573709,44.775942
81,3640000000,568718115321550,568718146953859,0.143856,24.300479,31.632309,9667,9796,10,1200,568718147554154,32.232604,32.37646
82,3680000000,568718155333062,568718186076752,0.159592,22.622315,30.74369,9768,9897,10,1200,568718186459477,31.126415,31.286007
83,3720000000,568718195343742,568718239814090,0.165664,36.465742,44.470348,9599,9728,10,1200,568718240165006,44.821264,44.986928
84,3760000000,568718235369142,568718266358979,0.195832,22.782701,30.989837,9533,9662,10,1200,568718266683079,31.313937,31.509769
85,3800000000,568718275326541,568718313100874,0.147855,30.298597,37.774333,9953,10082,10,1200,568718313391502,38.064961,38.212816
86,3840000000,568718315332037,568718348533612,0.154439,24.914726,33.201575,9722,9851,10,1200,568718349012306,33.680269,33.834708000000006
87,3880000000,568718355352989,568718389261772,0.179135,25.51502,33.908783,9810,9939,10,1200,568718389552080,34.199091,34.378226000000005
88,3920000000,568718395326388,568718450013849,0.149654,47.264109,54.687461,9788,9917,10,1200,568718450302364,54.975976,55.12563
89,3960000000,568718435346956,568718486748330,0.169166,43.265918,51.401374,9687,9816,10,1200,568718487071182,51.724226,51.893392
90,4000000000,568718475326915,568718525227216,0.147942,42.397172,49.900301,22176,22461,22,1200,568718526219420,50.892505,51.040447
91,4040000000,568718515335003,568718559588197,0.15987,36.773714,44.253194,11162,11305,11,1200,568718559849896,44.514893,44.674763
92,4080000000,568718555332275,568718601037486,0.152789,38.235683,45.705211,10272,10401,10,1200,568718601602613,46.270338,46.423127
93,4120000000,568718595350539,568718642362485,0.176365,38.331396,47.011946,10145,10274,10,1200,568718642806491,47.455952,47.632317
94,4160000000,568718635366019,568718673169601,0.201541,29.439836,37.803582,9999,10128,10,1200,568718673835241,38.469222,38.670763
95,4200000000,568718675413339,568718729990847,0.252414,46.058143,54.577508,9927,10056,10,1200,568718730720839,55.3075,55.559914
96,4240000000,568718715520468,568718771077123,0.379703,47.734387,55.556655,10087,10216,10,1200,568718771527369,56.006901,56.386604
97,4280000000,568718755345962,568718811008538,0.175596,47.837972,55.662576,10026,10155,10,1200,568718811393823,56.047861,56.223456999999996
98,4320000000,568718795364578,568718835778046,0.214916,31.976665,40.413468,9821,9950,10,1200,568718836257188,40.89261,41.107526
99,4360000000,568718835347865,568718877216839,0.181436,33.604716,41.868974,9748,9877,10,1200,568718877553035,42.20517,42.386606
100,4400000000,568718875333649,568718909799527,0.155123,27.056895,34.465878,9890,10019,10,1200,568718910161388,34.827739,34.982862000000004
101,4440000000,568718915321544,568718960627455,0.142635,37.874687,45.305911,9862,9991,10,1200,568718961019299,45.697755,45.84039
102,4480000000,568718955393601,568718986841236,0.221379,23.248402,31.447635,9806,9935,10,1200,568718987160792,31.767191,31.98857
103,4520000000,568718995330776,568719039323391,0.153818,36.234252,43.992615,9647,9776,10,1200,568719039667299,44.336523,44.490341
104,4560000000,568719035360080,568719074802625,0.194546,31.1996,39.442545,9803,9932,10,1200,568719075344904,39.984824,40.179370000000006
105,4600000000,568719075423817,568719112369116,0.248043,28.938805,36.945299,9634,9763,10,1200,568719112780097,37.35628,37.604323
106,4640000000,568719115329631,568719162120839,0.155713,39.37368,46.791208,10064,10193,10,1200,568719162444907,47.115276,47.270989
107,4680000000,568719155349079,568719187431922,0.173977,23.638263,32.082843,9710,9839,10,1200,568719187678804,32.329725,32.503702000000004
108,4720000000,568719195333583,568719226903203,0.159185,24.105052,31.56962,9713,9842,10,1200,568719227424009,32.090426,32.249611
109,4760000000,568719235330982,568719266794681,0.157801,23.064688,31.463699,9672,9801,10,1200,568719267057533,31.726551,31.884352
110,4800000000,568719275350814,568719314087463,0.183393,31.267313,38.736649,9652,9781,10,1200,568719314472140,39.121326,39.304719000000006
111,4840000000,568719315366326,568719357983565,0.202105,33.860687,42.617239,9924,10053,10,1200,568719358283408,42.917082,43.119187000000004
112,4880000000,568719355360014,568719387722956,0.200688,23.988379,32.362942,9851,9980,10,1200,568719387991887,32.631873,32.832561
113,4920000000,568719395332357,568719439237483,0.157544,36.301484,43.905126,9791,9920,10,1200,568719439529103,44.196746,44.35429
114,4960000000,568719435345085,568719476626500,0.174463,33.080902,41.281415,9702,9831,10,1200,568719476959240,41.614155,41.788618
115,5000000000,568719475344373,568719526221133,0.172791,42.652407,50.87676,21995,22280,22,1200,568719526897941,51.553568,51.726358999999995
116,5040000000,568719515385069,568719555752137,0.218671,31.992569,40.367068,11092,11235,11,1200,568719556168494,40.783425,41.002096
117,5080000000,568719555350884,568719596454537,0.176487,32.622432,41.103653,10385,10514,10,1200,568719596778893,41.428009,41.604496000000005
118,5120000000,568719595334204,568719628075102,0.161662,25.28593,32.740898,9891,10020,10,1200,568719628409890,33.075686,33.237348
119,5160000000,568719635322804,568719666774343,0.14655,24.062748,31.451539,9822,9951,10,1200,568719667359021,32.036217,32.182767
120,5200000000,568719675326667,568719725911968,0.15211,42.626423,50.585301,9849,9978,10,1200,568719726371557,51.04489,51.197
121,5240000000,568719715329507,568719751065769,0.153893,27.992523,35.736262,9746,9875,10,1200,568719751398637,36.06913,36.223023
122,5280000000,568719755340123,568719824248808,0.166621,61.307507,68.908685,9579,9708,10,1200,568719824635244,69.295121,69.461742
123,5320000000,568719795339571,568719859089347,0.170613,55.579312,63.749776,10148,10277,10,1200,568719859375878,64.036307,64.20692
124,5360000000,568719835330634,568719882439190,0.151725,39.629459,47.108556,10025,10154,10,1200,568719882966172,47.635538,47.787262999999996
125,5400000000,568719875348706,568719907992803,0.175365,24.96215,32.644097,9864,9993,10,1200,568719908407944,33.059238,33.234603
126,5440000000,568719915346618,568719955418867,0.172348,32.626401,40.072249,9673,9802,10,1200,568719955853464,40.506846,40.679194
127,5480000000,568719955348562,568719992760331,0.195092,29.173656,37.411769,9667,9796,10,1200,568719993249329,37.900767,38.095859000000004
128,5520000000,568719995337705,568720037564091,0.165164,34.186931,42.226386,9748,9877,10,1200,568720038000129,42.662424,42.827588
129,5560000000,568720035328673,568720068387239,0.149603,25.553293,33.058566,9712,9841,10,1200,568720068660522,33.331849,33.481452
130,5600000000,568720075326489,568720121607643,0.150203,38.814506,46.281154,9654,9783,10,1200,568720122019711,46.693222,46.843424999999996
131,5640000000,568720115336625,568720147381835,0.157139,23.667096,32.04521,9530,9659,10,1200,568720147706158,32.369533,32.526672
132,5680000000,568720155330856,568720211841635,0.163243,49.047107,56.510779,9647,9776,10,1200,568720212181767,56.850911,57.014154000000005
133,5720000000,568720195375681,568720246963553,0.206851,42.465621,51.587872,9782,9911,10,1200,568720247352454,51.976773,52.183624
134,5760000000,568720235358584,568720285756842,0.189114,42.030319,50.398258,9679,9808,10,1200,568720286371762,51.013178,51.202292
135,5800000000,568720275362128,568720324934616,0.19285,40.817441,49.572488,9654,9783,10,1200,568720325567360,50.205232,50.398082
136,5840000000,568720315353767,568720367891475,0.194186,44.031687,52.537708,9647,9776,10,1200,568720368548763,53.194996,53.389182000000005
137,5880000000,568720355363007,568720406072373,0.18925,41.900846,50.709366,9930,10059,10,1200,568720406676348,51.313341,51.502591
138,5920000000,568720395347671,568720444281592,0.181881,40.526142,48.933921,9671,9800,10,1200,568720444934976,49.587305,49.769186
139,5960000000,568720435375439,568720485819746,0.209809,41.663948,50.444307,9628,9757,10,1200,568720486446569,51.07113,51.280939
140,6000000000,568720475354470,568720517082515,0.187433,33.286345,41.728045,22109,22394,22,1200,568720518011710,42.65724,42.844673
141,6040000000,568720515353278,568720558894304,0.182368,35.424418,43.541026,11134,11277,11,1200,568720559540679,44.187401,44.369769
142,6080000000,568720555321622,568720587213774,0.144216,24.440705,31.892152,10413,10542,10,1200,568720587742388,32.420766,32.564982
143,6120000000,568720595332877,568720627728683,0.159056,24.122716,32.395806,10257,10386,10,1200,568720628451892,33.119015,33.278071
144,6160000000,568720635304453,568720667503041,0.126631,24.666371,32.198588,10329,10458,10,1200,568720668030791,32.726338,32.852969
145,6200000000,568720675319197,568720728578929,0.140415,45.073236,53.259732,10020,10149,10,1200,568720729217816,53.898619,54.039033999999994
146,6240000000,568720715321172,568720761282355,0.142775,38.457606,45.961183,9729,9858,10,1200,568720761804057,46.482885,46.62566
147,6280000000,568720755347629,568720796428785,0.172399,32.562016,41.081156,9685,9814,10,1200,568720796918391,41.570762,41.743161
148,6320000000,568720795340644,568720828790767,0.167526,26.05314,33.450123,9752,9881,10,1200,568720829285685,33.945041,34.112567000000006
149,6360000000,568720835297179,568720880840981,0.117662,38.09245,45.543802,9784,9913,10,1200,568720881555037,46.257858,46.37552
