scenario,audio_profile,people,audio_streams,cameras,link_mbps,one_way_ms_assumed,playout_ms_assumed,offered_load_fraction,mean_rate_below_link,network_p50_ms,network_p95_ms,network_max_ms,max_queue_wait_ms,network_deadline_ms,late_frames,frames,source_end_backlog_ms
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,2,2,1,1,25,20,4.148909333333332,False,7740.896580000007,14763.975159599851,15661.066620999809,15463.16262099981,100,619,625,15668.69773799981
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,2,2,1,5,25,20,0.8297818666666664,True,65.639837,88.77796859999944,108.18785699999907,59.557179999999654,100,6,625,83.21191699999986
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,2,2,1,10,25,20,0.4148909333333332,True,45.18560000000001,60.6215416000009,71.51119999999985,21.24194399999979,100,0,625,67.92151699999937
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,2,2,1,20,25,20,0.2074454666666666,True,45.092800000000004,52.73424000000027,58.25559999999992,7.9447439999995595,100,0,625,60.27631699999958
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,2,2,1,50,25,20,0.08297818666666665,True,45.03712,48.09196799999971,50.30223999999979,2.943990999999979,100,0,625,55.689196999999524
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,2,2,1,100,25,20,0.041489093333333324,True,45.01856,46.54598400000023,47.65112000000034,1.408311000000051,100,0,625,54.1601570000001
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,2,2,1,1000,25,20,0.004148909333333332,True,45.00185599999991,45.15459840000007,45.26511200000012,0.026199000000004524,100,0,625,52.7840209999999
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,3,3,1,1,25,20,4.1953093333333324,False,7855.750303000013,14975.488051599774,15890.992343999718,15693.08834399972,100,866,875,15898.62346099972
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,3,3,1,5,25,20,0.8390618666666665,True,63.65947000000023,88.52042499999993,108.7446569999991,60.299579999999686,100,8,875,83.21191699999986
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,3,3,1,10,25,20,0.41953093333333324,True,45.27840000000001,60.47792419999938,71.51119999999985,21.334743999999795,100,0,875,67.92151699999937
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,3,3,1,20,25,20,0.20976546666666662,True,45.1392,52.69472000000001,58.25559999999992,7.9911439999995615,100,0,875,60.27631699999958
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,3,3,1,50,25,20,0.08390618666666665,True,45.03712,48.07332800000015,50.30223999999979,2.96255099999998,100,0,875,55.689196999999524
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,3,3,1,100,25,20,0.04195309333333332,True,45.01856,46.536664000000165,47.65112000000034,1.4175910000000513,100,0,875,54.1601570000001
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,3,3,1,1000,25,20,0.004195309333333333,True,45.00185600000002,45.153666400000006,45.26511200000012,0.027126999999960155,100,0,875,52.7840209999999
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,4,4,1,1,25,20,4.241709333333333,False,7970.822303000018,15191.577632999688,16121.136343999615,15923.232343999614,100,1113,1125,16128.767460999616
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,4,4,1,5,25,20,0.8483418666666666,True,63.17991799999996,88.66756199999995,109.30145699999912,61.04197999999972,100,10,1125,83.21191699999986
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,4,4,1,10,25,20,0.4241709333333333,True,45.371200000000016,60.44591999999998,71.51119999999985,21.4275439999998,100,0,1125,67.92151699999937
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,4,4,1,20,25,20,0.21208546666666664,True,45.1392,52.67351999999999,58.25559999999992,8.037543999999563,100,0,1125,60.27631699999958
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,4,4,1,50,25,20,0.08483418666666666,True,45.05568,48.066240000000064,50.30223999999979,2.9811109999999807,100,0,1125,55.689196999999524
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,4,4,1,100,25,20,0.04241709333333333,True,45.02784,46.533120000000295,47.65112000000034,1.4268710000000517,100,0,1125,54.1601570000001
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,4,4,1,1000,25,20,0.004241709333333333,True,45.00278399999986,45.153312000000085,45.26511200000012,0.028054999999915786,100,0,1125,52.7840209999999
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,8,8,1,1,25,20,4.427309333333333,False,8431.110303000038,16073.17763299926,17041.712343999116,16843.808343999113,100,2101,2125,17049.343460999116
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,8,8,1,5,25,20,0.8854618666666665,True,63.309269000000405,88.70736319999997,111.52865699999921,64.01157999999984,100,26,2125,83.21191699999986
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,8,8,1,10,25,20,0.44273093333333324,True,45.64960000000003,60.37407999999982,71.51119999999985,21.798743999999814,100,0,2125,67.92151699999937
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,8,8,1,20,25,20,0.22136546666666662,True,45.27840000000001,52.64727999999999,58.25559999999992,8.223143999999571,100,0,2125,60.27631699999958
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,8,8,1,50,25,20,0.08854618666666665,True,45.092800000000004,48.04940800000004,50.30223999999979,3.055350999999984,100,0,2125,55.689196999999524
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,8,8,1,100,25,20,0.044273093333333326,True,45.046400000000006,46.52432000000009,47.65112000000034,1.4639910000000533,100,0,2125,54.1601570000001
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,8,8,1,1000,25,20,0.004427309333333332,True,45.00463999999978,45.152431999999926,45.26511200000012,0.03176699999973831,100,0,2125,52.7840209999999
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,16,16,1,1,25,20,4.798509333333333,False,9351.686303000077,17834.611245398202,18882.8643439979,18684.9603439979,100,4077,4125,18890.4954609979
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,16,16,1,5,25,20,0.9597018666666666,True,68.36339400000043,97.21353880000112,124.74931700000099,74.37916400000066,100,121,4125,95.19865800000193
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,16,16,1,10,25,20,0.4798509333333333,True,46.299200000000056,60.45828980000002,71.51119999999985,22.541143999999846,100,0,4125,67.92151699999937
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,16,16,1,20,25,20,0.23992546666666664,True,45.51040000000002,52.60949359999454,58.25559999999992,8.594343999999587,100,0,4125,60.27631699999958
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,16,16,1,50,25,20,0.09597018666666665,True,45.16704000000001,47.53301379999988,50.30223999999979,3.2038309999999903,100,0,4125,55.689196999999524
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,16,16,1,100,25,20,0.047985093333333326,True,45.08352000000001,45.89333019999555,47.65112000000034,1.5382310000000565,100,0,4125,54.1601570000001
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,16,16,1,1000,25,20,0.004798509333333333,True,45.008351999999604,45.01484800000018,45.26511200000012,0.03919099999938336,100,0,4125,52.7840209999999
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,32,32,1,1,25,20,5.540909333333333,False,11202.676257000154,21359.02656539521,22584.567703994515,22386.663703994516,100,8029,8125,22592.198820994516
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,32,32,1,5,25,20,1.1081818666666665,False,293.41004800002776,521.9975098000567,576.7531580000602,526.9671370000592,100,7829,8125,562.9306610000606
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,32,32,1,10,25,20,0.5540909333333333,True,47.50560000000011,61.23142119999991,71.51119999999985,24.02594399999991,100,0,8125,67.92151699999937
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,32,32,1,20,25,20,0.27704546666666663,True,45.974400000000045,52.622319999999846,58.25559999999992,9.33674399999962,100,0,8125,60.27631699999958
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,32,32,1,50,25,20,0.11081818666666665,True,45.334080000000014,47.38310539999995,50.30223999999979,3.500791000000003,100,0,8125,55.689196999999524
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,32,32,1,100,25,20,0.055409093333333326,True,45.167039999992014,45.69693199999969,47.65112000000034,1.686711000000063,100,0,8125,54.1601570000001
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,32,32,1,1000,25,20,0.005540909333333332,True,45.01577599999925,45.02969599999858,45.26511200000012,0.054038999998673454,100,0,8125,52.7840209999999
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,64,64,1,1,25,20,7.0257093333333325,False,14914.676256999282,28414.510942988145,30008.567703989593,29810.663703989594,100,16050,16125,30016.198820989594
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,64,64,1,5,25,20,1.4051418666666664,False,1029.644703000062,1927.3677130001179,2049.674758000124,1982.3447030001225,100,15805,16125,2035.852261000124
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,64,64,1,10,25,20,0.7025709333333332,True,50.10400000000022,63.153504600000325,74.71951800000028,26.995544000000038,100,0,16125,67.92151699999937
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,64,64,1,20,25,20,0.3512854666666666,True,46.85600000000008,52.99835539997478,58.544613000000204,10.821543999999683,100,0,16125,60.27631699999958
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,64,64,1,50,25,20,0.14051418666666665,True,45.64960000000003,47.457744399999974,50.30223999999979,4.094711000000029,100,0,16125,55.689196999999524
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,64,64,1,100,25,20,0.07025709333333333,True,45.315520000000014,45.63181439999979,47.65112000000034,1.9836710000000757,100,0,16125,54.1601570000001
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,64,64,1,1000,25,20,0.007025709333333332,True,45.03062399999854,45.05753599999725,45.26511200000012,0.08373499999725365,100,0,16125,52.7840209999999
four_candidates_shared_camera,opus_mono_16k_24k_20ms/speech_like,1,4,1,1,25,20,4.241709333333333,False,7970.822303000018,15191.577632999688,16121.136343999615,15923.232343999614,100,1113,1125,16128.767460999616
four_candidates_shared_camera,opus_mono_16k_24k_20ms/speech_like,1,4,1,5,25,20,0.8483418666666666,True,63.17991799999996,88.66756199999995,109.30145699999912,61.04197999999972,100,10,1125,83.21191699999986
four_candidates_shared_camera,opus_mono_16k_24k_20ms/speech_like,1,4,1,10,25,20,0.4241709333333333,True,45.371200000000016,60.44591999999998,71.51119999999985,21.4275439999998,100,0,1125,67.92151699999937
four_candidates_shared_camera,opus_mono_16k_24k_20ms/speech_like,1,4,1,20,25,20,0.21208546666666664,True,45.1392,52.67351999999999,58.25559999999992,8.037543999999563,100,0,1125,60.27631699999958
four_candidates_shared_camera,opus_mono_16k_24k_20ms/speech_like,1,4,1,50,25,20,0.08483418666666666,True,45.05568,48.066240000000064,50.30223999999979,2.9811109999999807,100,0,1125,55.689196999999524
four_candidates_shared_camera,opus_mono_16k_24k_20ms/speech_like,1,4,1,100,25,20,0.04241709333333333,True,45.02784,46.533120000000295,47.65112000000034,1.4268710000000517,100,0,1125,54.1601570000001
four_candidates_shared_camera,opus_mono_16k_24k_20ms/speech_like,1,4,1,1000,25,20,0.004241709333333333,True,45.00278399999986,45.153312000000085,45.26511200000012,0.028054999999915786,100,0,1125,52.7840209999999
four_candidates_shared_camera,opus_mono_16k_24k_20ms/speech_like,2,8,1,1,25,20,4.427309333333333,False,8431.110303000038,16073.17763299926,17041.712343999116,16843.808343999113,100,2101,2125,17049.343460999116
four_candidates_shared_camera,opus_mono_16k_24k_20ms/speech_like,2,8,1,5,25,20,0.8854618666666665,True,63.309269000000405,88.70736319999997,111.52865699999921,64.01157999999984,100,26,2125,83.21191699999986
four_candidates_shared_camera,opus_mono_16k_24k_20ms/speech_like,2,8,1,10,25,20,0.44273093333333324,True,45.64960000000003,60.37407999999982,71.51119999999985,21.798743999999814,100,0,2125,67.92151699999937
four_candidates_shared_camera,opus_mono_16k_24k_20ms/speech_like,2,8,1,20,25,20,0.22136546666666662,True,45.27840000000001,52.64727999999999,58.25559999999992,8.223143999999571,100,0,2125,60.27631699999958
four_candidates_shared_camera,opus_mono_16k_24k_20ms/speech_like,2,8,1,50,25,20,0.08854618666666665,True,45.092800000000004,48.04940800000004,50.30223999999979,3.055350999999984,100,0,2125,55.689196999999524
four_candidates_shared_camera,opus_mono_16k_24k_20ms/speech_like,2,8,1,100,25,20,0.044273093333333326,True,45.046400000000006,46.52432000000009,47.65112000000034,1.4639910000000533,100,0,2125,54.1601570000001
four_candidates_shared_camera,opus_mono_16k_24k_20ms/speech_like,2,8,1,1000,25,20,0.004427309333333332,True,45.00463999999978,45.152431999999926,45.26511200000012,0.03176699999973831,100,0,2125,52.7840209999999
four_candidates_shared_camera,opus_mono_16k_24k_20ms/speech_like,3,12,1,1,25,20,4.612909333333333,False,8891.398303000058,16954.77763299879,17962.28834399857,17764.384343998572,100,3089,3125,17969.91946099857
four_candidates_shared_camera,opus_mono_16k_24k_20ms/speech_like,3,12,1,5,25,20,0.9225818666666665,True,65.17758000000048,92.76137760000053,118.0677170000007,66.98117999999997,100,57,3125,83.32025800000142
four_candidates_shared_camera,opus_mono_16k_24k_20ms/speech_like,3,12,1,10,25,20,0.46129093333333326,True,45.92800000000004,60.396221199999886,71.51119999999985,22.16994399999983,100,0,3125,67.92151699999937
four_candidates_shared_camera,opus_mono_16k_24k_20ms/speech_like,3,12,1,20,25,20,0.23064546666666663,True,45.371200000000016,52.62879999999981,58.25559999999992,8.40874399999958,100,0,3125,60.27631699999958
four_candidates_shared_camera,opus_mono_16k_24k_20ms/speech_like,3,12,1,50,25,20,0.09225818666666666,True,45.129920000000006,47.94212040000037,50.30223999999979,3.129590999999987,100,0,3125,55.689196999999524
four_candidates_shared_camera,opus_mono_16k_24k_20ms/speech_like,3,12,1,100,25,20,0.04612909333333333,True,45.06496,46.39198900000039,47.65112000000034,1.501111000000055,100,0,3125,54.1601570000001
four_candidates_shared_camera,opus_mono_16k_24k_20ms/speech_like,3,12,1,1000,25,20,0.004612909333333332,True,45.006495999999686,45.0111360000048,45.26511200000012,0.035478999999560834,100,0,3125,52.7840209999999
four_candidates_shared_camera,opus_mono_16k_24k_20ms/speech_like,4,16,1,1,25,20,4.798509333333333,False,9351.686303000077,17834.611245398202,18882.8643439979,18684.9603439979,100,4077,4125,18890.4954609979
