scenario,audio_profile,people,audio_streams,beams_per_person,cameras,payload_mbps,modeled_ipv4_mbps,recommended_link_mbps,reserve_factor,model_basis,video_profile
selected_beam_local_vision,opus_mono_16k_16k_20ms/noise,3,3,1,0,0.048,0.1152,0.144,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,none
selected_beam_local_vision,opus_mono_16k_16k_20ms/noise,4,4,1,0,0.064,0.1536,0.19199999999999998,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,none
selected_beam_local_vision,opus_mono_16k_16k_20ms/noise,8,8,1,0,0.128,0.3072,0.38399999999999995,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,none
selected_beam_local_vision,opus_mono_16k_16k_20ms/noise,16,16,1,0,0.256,0.6144,0.7679999999999999,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,none
selected_beam_local_vision,opus_mono_16k_16k_20ms/noise,32,32,1,0,0.512,1.2288,1.5359999999999998,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,none
selected_beam_local_vision,opus_mono_16k_16k_20ms/noise,64,64,1,0,1.024,2.4576,3.0719999999999996,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,none
selected_beam_shared_camera,opus_mono_16k_16k_20ms/noise,1,1,1,1,3.8666879999999995,4.094509333333333,5.314733286796196,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
selected_beam_shared_camera,opus_mono_16k_16k_20ms/noise,2,2,1,1,3.8826879999999995,4.132909333333333,5.362733286796196,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
selected_beam_shared_camera,opus_mono_16k_16k_20ms/noise,3,3,1,1,3.8986879999999995,4.171309333333332,5.410733286796195,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
selected_beam_shared_camera,opus_mono_16k_16k_20ms/noise,4,4,1,1,3.9146879999999995,4.209709333333333,5.458733286796196,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
selected_beam_shared_camera,opus_mono_16k_16k_20ms/noise,8,8,1,1,3.9786879999999996,4.363309333333333,5.6507332867961955,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
selected_beam_shared_camera,opus_mono_16k_16k_20ms/noise,16,16,1,1,4.106687999999999,4.6705093333333325,6.034733286796196,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
selected_beam_shared_camera,opus_mono_16k_16k_20ms/noise,32,32,1,1,4.3626879999999995,5.284909333333332,6.802733286796196,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
selected_beam_shared_camera,opus_mono_16k_16k_20ms/noise,64,64,1,1,4.874687999999999,6.513709333333333,8.338733286796195,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
four_candidates_shared_camera,opus_mono_16k_16k_20ms/noise,1,4,4,1,3.9146879999999995,4.209709333333333,5.458733286796196,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
four_candidates_shared_camera,opus_mono_16k_16k_20ms/noise,2,8,4,1,3.9786879999999996,4.363309333333333,5.6507332867961955,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
four_candidates_shared_camera,opus_mono_16k_16k_20ms/noise,3,12,4,1,4.042687999999999,4.5169093333333326,5.842733286796196,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
four_candidates_shared_camera,opus_mono_16k_16k_20ms/noise,4,16,4,1,4.106687999999999,4.6705093333333325,6.034733286796196,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
four_candidates_shared_camera,opus_mono_16k_16k_20ms/noise,8,32,4,1,4.3626879999999995,5.284909333333332,6.802733286796196,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
four_candidates_shared_camera,opus_mono_16k_16k_20ms/noise,16,64,4,1,4.874687999999999,6.513709333333333,8.338733286796195,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
four_candidates_shared_camera,opus_mono_16k_16k_20ms/noise,32,128,4,1,5.898688,8.971309333333332,11.410733286796194,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
four_candidates_shared_camera,opus_mono_16k_16k_20ms/noise,64,256,4,1,7.946688,13.886509333333333,17.554733286796193,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
independent_robots,opus_mono_16k_16k_20ms/noise,1,1,1,1,3.8666879999999995,4.094509333333333,5.314733286796196,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
independent_robots,opus_mono_16k_16k_20ms/noise,2,2,1,2,7.733375999999999,8.189018666666666,10.629466573592392,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
independent_robots,opus_mono_16k_16k_20ms/noise,3,3,1,3,11.600063999999998,12.283527999999999,15.944199860388586,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
independent_robots,opus_mono_16k_16k_20ms/noise,4,4,1,4,15.466751999999998,16.37803733333333,21.258933147184784,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
independent_robots,opus_mono_16k_16k_20ms/noise,8,8,1,8,30.933503999999996,32.75607466666666,42.51786629436957,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
independent_robots,opus_mono_16k_16k_20ms/noise,16,16,1,16,61.86700799999999,65.51214933333333,85.03573258873914,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
independent_robots,opus_mono_16k_16k_20ms/noise,32,32,1,32,123.73401599999998,131.02429866666665,170.07146517747827,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
independent_robots,opus_mono_16k_16k_20ms/noise,64,64,1,64,247.46803199999997,262.0485973333333,340.14293035495655,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,1,1,1,0,0.024,0.0464,0.057999999999999996,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,none
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,2,2,1,0,0.048,0.0928,0.11599999999999999,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,none
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,3,3,1,0,0.07200000000000001,0.1392,0.174,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,none
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,4,4,1,0,0.096,0.1856,0.23199999999999998,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,none
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,8,8,1,0,0.192,0.3712,0.46399999999999997,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,none
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,16,16,1,0,0.384,0.7424,0.9279999999999999,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,none
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,32,32,1,0,0.768,1.4848,1.8559999999999999,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,none
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,64,64,1,0,1.536,2.9696,3.7119999999999997,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,none
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,1,1,1,1,3.8746879999999995,4.102509333333333,5.324733286796196,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,2,2,1,1,3.8986879999999995,4.148909333333332,5.382733286796196,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,3,3,1,1,3.9226879999999995,4.1953093333333324,5.4407332867961955,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,4,4,1,1,3.9466879999999995,4.241709333333333,5.498733286796195,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,8,8,1,1,4.042687999999999,4.427309333333333,5.7307332867961955,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,16,16,1,1,4.234687999999999,4.798509333333333,6.194733286796196,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,32,32,1,1,4.618688,5.540909333333333,7.122733286796196,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,64,64,1,1,5.3866879999999995,7.0257093333333325,8.978733286796196,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
four_candidates_shared_camera,opus_mono_16k_24k_20ms/speech_like,1,4,4,1,3.9466879999999995,4.241709333333333,5.498733286796195,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
four_candidates_shared_camera,opus_mono_16k_24k_20ms/speech_like,2,8,4,1,4.042687999999999,4.427309333333333,5.7307332867961955,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
four_candidates_shared_camera,opus_mono_16k_24k_20ms/speech_like,3,12,4,1,4.138687999999999,4.612909333333333,5.962733286796196,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
four_candidates_shared_camera,opus_mono_16k_24k_20ms/speech_like,4,16,4,1,4.234687999999999,4.798509333333333,6.194733286796196,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
four_candidates_shared_camera,opus_mono_16k_24k_20ms/speech_like,8,32,4,1,4.618688,5.540909333333333,7.122733286796196,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
four_candidates_shared_camera,opus_mono_16k_24k_20ms/speech_like,16,64,4,1,5.3866879999999995,7.0257093333333325,8.978733286796196,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
four_candidates_shared_camera,opus_mono_16k_24k_20ms/speech_like,32,128,4,1,6.922687999999999,9.995309333333331,12.690733286796196,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
four_candidates_shared_camera,opus_mono_16k_24k_20ms/speech_like,64,256,4,1,9.994688,15.934509333333331,20.114733286796195,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
independent_robots,opus_mono_16k_24k_20ms/speech_like,1,1,1,1,3.8746879999999995,4.102509333333333,5.324733286796196,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
independent_robots,opus_mono_16k_24k_20ms/speech_like,2,2,1,2,7.749375999999999,8.205018666666666,10.649466573592392,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
independent_robots,opus_mono_16k_24k_20ms/speech_like,3,3,1,3,11.624063999999997,12.307528,15.974199860388588,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
independent_robots,opus_mono_16k_24k_20ms/speech_like,4,4,1,4,15.498751999999998,16.41003733333333,21.298933147184783,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
independent_robots,opus_mono_16k_24k_20ms/speech_like,8,8,1,8,30.997503999999996,32.82007466666666,42.59786629436957,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
independent_robots,opus_mono_16k_24k_20ms/speech_like,16,16,1,16,61.99500799999999,65.64014933333333,85.19573258873913,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
independent_robots,opus_mono_16k_24k_20ms/speech_like,32,32,1,32,123.99001599999998,131.28029866666665,170.39146517747827,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
independent_robots,opus_mono_16k_24k_20ms/speech_like,64,64,1,64,247.98003199999997,262.5605973333333,340.78293035495653,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
selected_beam_local_vision,opus_mono_16k_24k_20ms/noise,1,1,1,0,0.024,0.0464,0.057999999999999996,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,none
selected_beam_local_vision,opus_mono_16k_24k_20ms/noise,2,2,1,0,0.048,0.0928,0.11599999999999999,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,none
selected_beam_local_vision,opus_mono_16k_24k_20ms/noise,3,3,1,0,0.07200000000000001,0.1392,0.174,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,none
selected_beam_local_vision,opus_mono_16k_24k_20ms/noise,4,4,1,0,0.096,0.1856,0.23199999999999998,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,none
selected_beam_local_vision,opus_mono_16k_24k_20ms/noise,8,8,1,0,0.192,0.3712,0.46399999999999997,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,none
selected_beam_local_vision,opus_mono_16k_24k_20ms/noise,16,16,1,0,0.384,0.7424,0.9279999999999999,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,none
selected_beam_local_vision,opus_mono_16k_24k_20ms/noise,32,32,1,0,0.768,1.4848,1.8559999999999999,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,none
selected_beam_local_vision,opus_mono_16k_24k_20ms/noise,64,64,1,0,1.536,2.9696,3.7119999999999997,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,none
selected_beam_shared_camera,opus_mono_16k_24k_20ms/noise,1,1,1,1,3.8746879999999995,4.102509333333333,5.324733286796196,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
