stage,sequence,release_ns,queued_ns,start_ns,end_ns,age_ms,queue_ms,service_ms,output_samples
live,112,16570515382739,16570515563946,16570525595647,16570532673970,17.291231,10.031701,7.078323,30720
live,113,16570525382739,16570525721633,16570532812884,16570539792870,14.410131,7.091251,6.979986,30720
live,114,16570535382739,16570535553300,16570539923783,16570546930010,11.547271,4.370483,7.006227,30720
live,115,16570545382739,16570545612906,16570547059227,16570554704789,9.32205,1.446321,7.645562,30720
live,116,16570555382739,16570555551231,16570555622559,16570562706130,7.323391,0.071328,7.083571,30720
live,117,16570565382739,16570565543060,16570565617653,16570572650663,7.267924,0.074593,7.03301,30720
live,118,16570575382739,16570575541865,16570575610346,16570582595036,7.212297,0.068481,6.98469,30720
live,119,16570585382739,16570585530846,16570585605887,16570592674610,7.291871,0.075041,7.068723,30720
live,120,16570595382739,16570595561044,16570595666453,16570652885460,57.502721,0.105409,57.219007,30720
live,121,16570605382739,16570605951789,16570653073974,16570660590286,55.207547,47.122185,7.516312,30720
live,122,16570615382739,16570615622751,16570660750576,16570668038853,52.656114,45.127825,7.288277,30720
live,123,16570625382739,16570625572596,16570668189031,16570675439196,50.056457,42.616435,7.250165,30720
live,124,16570635382739,16570635552073,16570675595262,16570682841555,47.458816,40.043189,7.246293,30720
live,126,16570655382739,16570655558419,16570682994581,16570690147241,34.764502,27.436162,7.15266,30720
live,127,16570665382739,16570665559656,16570690280010,16570697379965,31.997226,24.720354,7.099955,30720
live,128,16570675382739,16570675717599,16570697516671,16570704603090,29.220351,21.799072,7.086419,30720
live,129,16570685382739,16570685571251,16570704746676,16570711863527,26.480788,19.175425,7.116851,30720
live,130,16570695382739,16570695561032,16570712024585,16570719023451,23.640712,16.463553,6.998866,30720
live,131,16570705382739,16570705548157,16570719158941,16570726448242,21.065503,13.610784,7.289301,30720
live,132,16570715382739,16570715564851,16570726585268,16570734249518,18.866779,11.020417,7.66425,30720
live,133,16570725382739,16570725600648,16570734433136,16570741960968,16.578229,8.832488,7.527832,30720
live,134,16570735382739,16570735558813,16570742112330,16570749512513,14.129774,6.553517,7.400183,30720
live,135,16570745382739,16570745594131,16570749667810,16570757332700,11.949961,4.073679,7.66489,30720
live,136,16570755382739,16570755749226,16570757496446,16570765153912,9.771173,1.74722,7.657466,30720
live,137,16570765382739,16570765560829,16570765638334,16570773213750,7.831011,0.077505,7.575416,30720
live,138,16570775382739,16570775550034,16570775655763,16570783316141,7.933402,0.105729,7.660378,30720
live,139,16570785382739,16570785554055,16570785645128,16570793143488,7.760749,0.091073,7.49836,30720
live,140,16570795382739,16570795586589,16570795707230,16570854210188,58.827449,0.120641,58.502958,30720
live,141,16570805382739,16570805657523,16570854468047,16570865274542,59.891803,48.810524,10.806495,30720
